mean_constant,lengthscale,outputscale,noise,nu,iteration
-1.3588812104698784e-08,0.32026744519646905,0.999999859092189,1.399590183665122e-07,0.5,1
-3.8194619506241973e-07,0.3652665369683248,0.9999997048513016,1.3995883600906003e-07,0.5,2
-0.00011249024816016102,0.6263959375513991,0.9999798566692386,1.399149197673663e-07,0.5,3
-0.07884025072291845,1.4585174928214766,0.9128168343938177,1.055615054246369e-08,0.5,4
-0.18815125813185296,2.2665653516988615,0.8831686790336454,3.4952744213800598e-09,0.5,5
-0.36786240873825177,5.893767155766171,1.1236447869054296,1.388958009544552e-09,0.5,6
-0.4410328478881894,9.364756587144754,1.3115662087862787,7.313877473476823e-10,0.5,7
-0.5012516618320401,9.419606665084627,1.238671247846088,4.83492197571279e-10,0.5,8
-0.5634059188311238,7.953431164988867,1.091962388991577,3.7257684722131276e-10,0.5,9
-0.6361930542827282,8.167766301413668,1.0273758931692778,2.936506724282862e-10,0.5,10
-0.695763345326043,9.095354045338713,1.0084067510174275,2.3042305173943068e-10,0.5,11
-0.7431923524484182,9.819735469517775,0.9809236714586957,1.8293010653430468e-10,0.5,12
-0.7985946086083637,10.190475889843071,0.9501336261999196,1.4719308695373578e-10,0.5,13
-0.8429871451073531,10.929583734036386,0.9357225903659705,1.1800827089172542e-10,0.5,14
-0.8810333515600899,11.805404557295136,0.927831858730209,9.482567441251314e-11,0.5,15
-0.9156360779579346,12.827740810517895,0.9239013667644368,7.67842165589775e-11,0.5,16
-0.9520599426224007,13.801569342693458,0.9218200004413757,6.294284391969184e-11,0.5,17
-0.9876026099205908,14.741810839978724,0.9202624662594867,5.223964828521841e-11,0.5,18
-1.0218064309912402,15.650250673249152,0.9206184538966755,4.389815187938194e-11,0.5,19
-1.0544003545674148,16.472869049633406,0.9241288489816084,3.739233758904968e-11,0.5,20
-1.0833476240515396,17.353889701533127,0.9254830998819923,3.20787617577661e-11,0.5,21
-1.1106525307299684,18.27061466800104,0.9306728924112371,2.773906050635931e-11,0.5,22
-1.135521145432519,19.214551995830206,0.9385180345747094,2.4187356840341775e-11,0.5,23
-1.1618732590576948,20.15349845455766,0.9448420032272842,2.1252169358606004e-11,0.5,24
-1.1867480733381623,21.09143002523236,0.9543466202053097,1.8802305405286497e-11,0.5,25
-1.21320276751791,21.96272679354567,0.9676986189919492,1.676301802984286e-11,0.5,26
-1.2372683312862125,22.862780716986446,0.9744420942759906,1.4994975540807328e-11,0.5,27
-1.2603283591210708,23.78794583150775,0.9823851115841443,1.3465105976019674e-11,0.5,28
-1.2824446879110476,24.73039182584437,0.9907775625239714,1.2143783376448082e-11,0.5,29
-1.3032363864290515,25.68040352348636,1.001251516936669,1.1004194981664471e-11,0.5,30
-1.3233355434281706,26.642690358778594,1.0115104282911427,1.0013717261992618e-11,0.5,31
-1.3445852383084889,27.607644608087366,1.0204116146852162,9.145477842386974e-12,0.5,32
-1.365476240202886,28.571089307091142,1.0298222013843406,8.381894603811866e-12,0.5,33
-1.3859625038523993,29.532057798568644,1.0396166516898129,7.70834228247973e-12,0.5,34
-1.405359615430047,30.474161925440562,1.0535766065003018,7.117281015745183e-12,0.5,35
-1.4245931560405034,31.420735053040307,1.0632164730993516,6.588671916859389e-12,0.5,36
-1.4433312880110696,32.36200446059562,1.074968747581509,6.1152664821441764e-12,0.5,37
-1.4622267898607992,33.304440285448635,1.0843975538924422,5.688733899467565e-12,0.5,38
-1.480539833699823,34.24612843789014,1.0949702882841463,5.30395576700261e-12,0.5,39
-1.4990439549950365,35.18730056273298,1.1048209530263244,4.95587503043096e-12,0.5,40
-1.5167070336879553,36.125564073821856,1.1163173354362699,4.6408975517828924e-12,0.5,41
-1.5355979735680523,37.05348684781938,1.1272831013836346,4.3553814942783776e-12,0.5,42
-1.5523034491627343,37.98189472398567,1.1392288222606792,4.095050511638509e-12,0.5,43
-1.5695508137122105,38.91412996839154,1.1497004081515152,3.856636998416388e-12,0.5,44
-1.5874094739408402,39.84668569382709,1.1609391112971494,3.637904170581114e-12,0.5,45
-1.6050982266679423,40.777564849137136,1.1730522176866163,3.437163542004554e-12,0.5,46
-1.6224619871770378,41.70823130608011,1.1849570723021063,3.252434732381319e-12,0.5,47
-1.63953200696368,42.63866264469889,1.197273536335187,3.082134277865375e-12,0.5,48
-1.6561452784556654,43.555766373363994,1.2152547884165725,2.9263391781318037e-12,0.5,49
-1.671592119441189,44.48370697825051,1.2285920025492083,2.7814102815515044e-12,0.5,50
-1.6877034811030154,45.41674729491758,1.2393769137203634,2.6460721702257893e-12,0.5,51
-1.7029606952506298,46.35208983010459,1.252344634059575,2.5199095798322305e-12,0.5,52
-1.7179259011332644,47.29154105227805,1.2648914777145703,2.40223003887038e-12,0.5,53
-1.7328115862475997,48.2351174437725,1.276884186339163,2.292338027603829e-12,0.5,54
-1.7465575092365033,49.17728436783461,1.2921550966083513,2.190224309910151e-12,0.5,55
-1.760163958764143,50.127543464195995,1.3048177279166626,2.0945921107137312e-12,0.5,56
-1.7748320830811335,51.08209630745159,1.317623252666241,2.0049085033280482e-12,0.5,57
-1.7899637427105644,52.037180209046745,1.3287701036807462,1.920686640087233e-12,0.5,58
-1.8042610927402587,52.9921789455956,1.3429762692486245,1.8417660637183222e-12,0.5,59
-1.8187372018263066,53.95175065782464,1.3544030846916373,1.7674199530015708e-12,0.5,60
-1.8327159973774805,54.91468050109765,1.3675278541570073,1.697447698682158e-12,0.5,61
-1.8472468715419463,55.878822237373726,1.3786874769143571,1.6314215626392677e-12,0.5,62
-1.861374419729611,56.842269983534116,1.3916994926803747,1.5691302474345897e-12,0.5,63
-1.87529479747621,57.80597922389646,1.4047725116638223,1.5103143605237798e-12,0.5,64
-1.8890567623919916,58.770945441606585,1.4174917107781193,1.4546909490226357e-12,0.5,65
-1.9025685255804454,59.73672159485552,1.4308485133853917,1.4020749698502663e-12,0.5,66
-1.9160107823689811,60.70507171880594,1.4432528208642974,1.3521983855644613e-12,0.5,67
-1.9300822824419603,61.67177624645318,1.455318540684292,1.3049339968740258e-12,0.5,68
-1.9424493075750946,62.632857538252416,1.474267878108926,1.2603637145517716e-12,0.5,69
-1.952270454109469,63.6026384102437,1.4926186322338448,1.2181152603770973e-12,0.5,70
-1.9629337321358757,64.58769942223496,1.5054297593305264,1.1777545070461342e-12,0.5,71
-1.974928533278221,65.58059762297519,1.518542069322017,1.139213178984758e-12,0.5,72
-1.987466766564149,66.57824682323955,1.5308407061037275,1.1024357502241335e-12,0.5,73
-2.000176460626999,67.57758742685627,1.5446606702320602,1.067392816179239e-12,0.5,74
-2.013024249100662,68.57947770187825,1.5572405301852639,1.033941986816506e-12,0.5,75
-2.025884257089022,69.58337537451256,1.5694365853810208,1.0019912309818818e-12,0.5,76
-2.038470857452284,70.58333139366319,1.5857694074713216,9.716262153232973e-13,0.5,77
-2.0504802888062104,71.58058740520696,1.6038729652240191,9.427224275455468e-13,0.5,78
-2.0620825148487887,72.58252582980695,1.620093293557379,9.150302689564292e-13,0.5,79
-2.073898998172159,73.5921671019042,1.632683176830987,8.88405429719205e-13,0.5,80
-2.085106602276828,74.60646520688478,1.6483657576689592,8.629194083147121e-13,0.5,81
-2.0954519322027685,75.62814719119524,1.6647801458329945,8.385307602674639e-13,0.5,82
