mean_constant,lengthscale,outputscale,noise,nu,iteration
-5.850478385714897e-09,0.3921159344238771,0.9900179696101457,0.009982463881695368,0.5,1
1.0656480423159692e-07,0.3901544403314746,0.9900182305876383,0.009982464226374282,0.5,2
-1.0705517399031658e-07,0.388490508626673,0.9900180636832596,0.009982464511382306,0.5,3
-3.42627894677411e-07,0.38774833879846476,0.9900177300048072,0.009982464628681716,0.5,4
-1.1510627919212941e-06,0.388717470160599,0.9900170589407574,0.009982464410496324,0.5,5
-2.161225358159406e-06,0.39105371315906806,0.990016581872944,0.009982463929348146,0.5,6
0.008004664476811398,0.3943918123844756,0.9900296012319542,0.00998246345564933,0.5,7
0.0012376774355215602,0.39884543729739647,0.990017318377392,0.009982462371213863,0.5,8
8.19466637468591e-05,0.40594592993598205,0.9900159258692289,0.009982460937763081,0.5,9
-1.2412082067715161e-06,0.41483452106832863,0.9900141736229262,0.009982459130703294,0.5,10
-7.98328740884792e-06,0.42555853065399046,0.9900134580632802,0.009982456948244813,0.5,11
-0.004313056999027672,0.44244567101429927,0.9900938685110582,0.00998245474372507,0.5,12
0.0005978616441031668,0.47210442940994063,0.9899951328381174,0.009982446983868798,0.5,13
-0.26539413066379397,5.532382615927848,1.3229256660431137,2.2545326561243504e-06,0.5,14
-0.33074651607937927,10.44190930252922,1.6468635061550243,1.1673189996904562e-06,0.5,15
-0.5204340442502241,7.5552475261870295,1.4756485259230019,1.1433676526026484e-06,0.5,16
-0.5247179151907589,5.653311616660401,1.0203797212029673,1.0719421122061385e-06,0.5,17
-0.5779888847087313,6.2611878476616205,0.9304096616322586,9.48965804858863e-07,0.5,18
-0.6339437344352886,6.840307611853338,0.8599590630498986,8.094691349140317e-07,0.5,19
-0.6788436451119482,7.5102236921674015,0.8117529249609219,6.666306485737224e-07,0.5,20
-0.7183683917606111,8.166087333131662,0.7764245208919546,5.394099029905837e-07,0.5,21
-0.7563620549634963,8.816503542552136,0.7494683243027626,4.339908436681431e-07,0.5,22
-0.7912496760740425,9.451687364626746,0.7295804203857579,3.502255214950682e-07,0.5,23
-0.8238247742686666,9.692411392317812,0.7083575685346587,2.9036048583072436e-07,0.5,24
-0.8556893576671047,10.127871460120213,0.6895388825794251,2.3733958819558337e-07,0.5,25
-0.8841573406000504,10.757153656060682,0.6765376242454636,1.9148732044110048e-07,0.5,26
-0.9110273940160702,11.462495992016358,0.6692318380232835,1.5485962818252093e-07,0.5,27
-0.940030568126728,12.175798777983928,0.6655342463733317,1.2645015853079678e-07,0.5,28
-0.9679331793597746,12.903112225087053,0.6624485982870406,1.0416750212276606e-07,0.5,29
