mean_constant,lengthscale,outputscale,noise,nu,iteration
-7.082401436587945e-12,0.3298134107828098,0.9999998600844453,1.3994712353615497e-07,2.5,1
-8.51812460615034e-11,0.32715844212828926,0.9999998602052489,1.3994712416585308e-07,2.5,2
-2.7986006567773134e-10,0.3254872648935434,0.9999998601134837,1.399471245437625e-07,2.5,3
-9.372047813668465e-10,0.3304512936238959,0.9999998596333145,1.3994712333588557e-07,2.5,4
-1.675639088782909e-07,0.4149285651479813,0.9999997731152465,1.399471018529682e-07,2.5,5
-0.21425811832508793,2.8979256104062494,1.2403147031324004,7.355977245973469e-08,2.5,6
-0.1788517594708102,2.2139658777841453,1.021240461573514,5.291912183363613e-08,2.5,7
-0.2474561355548621,2.3769599395060297,1.0034544358383635,3.2675329753074873e-08,2.5,8
-0.2986804129346341,2.527993201145112,0.9964565726416139,1.9151098442533973e-08,2.5,9
-0.34403844383880544,2.672585627785418,0.9910357552014459,1.2095140918010998e-08,2.5,10
-0.38593386112079514,2.5982017509040536,0.9674513183987692,9.039302039350597e-09,2.5,11
-0.4286824520040488,2.5932832597962947,0.9657289988884276,7.159967902505762e-09,2.5,12
-0.4804387927109167,2.717825959945357,0.9624549099989246,5.614244692282759e-09,2.5,13
-0.5209264549001048,2.8569437018279182,0.9657271813202195,4.311219477240731e-09,2.5,14
-0.5570214690905253,2.951242082136863,0.9649296489165227,3.348038883254496e-09,2.5,15
-0.6371091479862813,2.897395976713396,0.9520956013707554,2.7167932611832725e-09,2.5,16
-0.6781591869174558,2.951772230382331,0.9466087545574249,2.2240013643317447e-09,2.5,17
-0.7150346120597852,3.0376289935534664,0.9483268224729793,1.8119026009987084e-09,2.5,18
-0.7556377901971395,3.0962781584530474,0.9395421304534574,1.484649518753846e-09,2.5,19
-0.7921411757748208,3.1532023375463627,0.9298664259565942,1.225218897650358e-09,2.5,20
-0.8261629196652619,3.1906418112726405,0.9180385108702616,1.0211216443278908e-09,2.5,21
-0.8565846294734177,3.230390958502633,0.9059745131751674,8.581854440256585e-10,2.5,22
-0.8868211433629754,3.250439977518499,0.8948164237282967,7.307393583072322e-10,2.5,23
-0.908786303794159,3.290675159735944,0.8846725606636765,6.268503277509214e-10,2.5,24
-0.9341336250950607,3.326179350046282,0.8759533507196924,5.418865980093483e-10,2.5,25
-0.9544859625599256,3.3561227532163764,0.8658097003487083,4.723310294694862e-10,2.5,26
-0.991501155001248,3.3495634501275093,0.8601062477671537,4.1717119693289834e-10,2.5,27
-1.02378370677055,3.3701714560593907,0.8510762589897999,3.701278154736195e-10,2.5,28
-1.0464129192528797,3.412776427512075,0.846866518865804,3.2830758957568855e-10,2.5,29
-1.0710853166223337,3.4405283802432693,0.8389410970977227,2.9215129545360155e-10,2.5,30
-1.0952115603469772,3.465583376043717,0.8305266925690389,2.6120045159585446e-10,2.5,31
-1.1218926197576358,3.4726016784754066,0.8224468065257756,2.353213770174054e-10,2.5,32
-1.1473821336767989,3.4903661901555116,0.8139510889018281,2.129978091989829e-10,2.5,33
-1.1721538722447664,3.507279919569062,0.8062297793914022,1.9353653777813787e-10,2.5,34
-1.1945146243865792,3.517766938106418,0.7993522723718555,1.7667715983176415e-10,2.5,35
-1.2215201089222048,3.54008830975251,0.7936621592335931,1.615892830111928e-10,2.5,36
-1.2461684933316448,3.561723641074027,0.7889074044042844,1.480901640626672e-10,2.5,37
-1.2685409175396698,3.5737542172647205,0.7810724391827989,1.360980936458144e-10,2.5,38
-1.290011103942742,3.585646339648283,0.7732111918496711,1.2542405210196472e-10,2.5,39
-1.3113354063517277,3.5953307731972903,0.765594898044341,1.1593963399775367e-10,2.5,40
-1.3306351833463357,3.6099452324850523,0.7584346484887494,1.0740407808178962e-10,2.5,41
-1.3532047959190268,3.6087656146396605,0.7541128349820575,9.992395975281529e-11,2.5,42
-1.375898822328708,3.612606779081801,0.7474102464023498,9.322457417053382e-11,2.5,43
-1.3983149191812791,3.6226682478560566,0.7420474468136831,8.705034758272672e-11,2.5,44
-1.425310782327373,3.605028407639651,0.7348558377401241,8.17310894140641e-11,2.5,45
-1.4460723221256417,3.643149077773094,0.7373470203516571,7.650387753475538e-11,2.5,46
-1.4664723584521515,3.65840395517269,0.7315051673147326,7.158906260428229e-11,2.5,47
-1.4852630216484461,3.6679820331510946,0.7250072384578552,6.710137602244529e-11,2.5,48
-1.5040435057642663,3.679238076966444,0.7191159370497556,6.298902759256811e-11,2.5,49
-1.522410170176181,3.687988831017137,0.7136003235561479,5.922221529545652e-11,2.5,50
-1.5411068809690571,3.7024523991721785,0.7095847604534952,5.572572354254964e-11,2.5,51
-1.5585583990326786,3.7103343036450727,0.7045046123853232,5.2509010410363034e-11,2.5,52
-1.576166539784713,3.692054176119816,0.7073509288290618,4.978633084625185e-11,2.5,53
-1.5993037070462857,3.6693813205795447,0.696191130377054,4.739251278393e-11,2.5,54
-1.6228474377749929,3.682728058588457,0.691611690128997,4.5135636160930935e-11,2.5,55
-1.638022669815374,3.6640762034318417,0.6876446263146516,4.3188362367199283e-11,2.5,56
-1.6577787499149115,3.678855298203389,0.6826225306692244,4.135416279063526e-11,2.5,57
-1.662224144451108,3.6596238632818556,0.6807615194401732,3.981603368209058e-11,2.5,58
-1.668735768535487,3.599435276934046,0.6680960551482893,3.876558328659629e-11,2.5,59
-1.6862273849557126,3.6058374682026697,0.6634522267189094,3.7811872904819964e-11,2.5,60
-1.7011529321025307,3.6144712179147387,0.6586313600608931,3.686904500305384e-11,2.5,61
-1.7146555231304001,3.620945568312946,0.6536803802673548,3.5954620053257423e-11,2.5,62
-1.7312959547665407,3.6308031818587847,0.6489017544064568,3.5026550924414026e-11,2.5,63
-1.7463586009835887,3.6380683179037656,0.6438208351438621,3.409689616576043e-11,2.5,64
-1.7611621232872643,3.644446046182038,0.6389649186734644,3.3173797396020765e-11,2.5,65
-1.775637242244138,3.6482525621892705,0.6353080239282647,3.228236739050646e-11,2.5,66
-1.7902051481063386,3.6543834598539156,0.6311635359547368,3.1393624103899674e-11,2.5,67
-1.8044941718046907,3.6575995056199746,0.6282045613632711,3.0543110128809616e-11,2.5,68
-1.8193211810006944,3.66479686996923,0.6244243661439621,2.9697553438333606e-11,2.5,69
-1.8338579751513546,3.671576837870618,0.6203679150513188,2.8858862700921095e-11,2.5,70
-1.847694491670191,3.6784482578384083,0.616298650256803,2.8025350592343213e-11,2.5,71
-1.8626637775312322,3.68223380448714,0.6128663869896465,2.7219710153929596e-11,2.5,72
-1.8780626847902395,3.6812193636046784,0.6116462616496896,2.6472893612066012e-11,2.5,73
-1.8899742379114215,3.695503685064178,0.6109096365655425,2.5697936383247812e-11,2.5,74
-1.9042191891060931,3.7012899802112162,0.6073271569991301,2.492455949759396e-11,2.5,75
-1.917549867308995,3.707716671695432,0.6037778646268781,2.4161618157469043e-11,2.5,76
-1.931334433629316,3.7125054417223446,0.5998599381954017,2.3416890243628433e-11,2.5,77
-1.943937722861677,3.7188620395554883,0.5962792461073892,2.268873261868018e-11,2.5,78
-1.9587022016807476,3.7190140903984896,0.5930917887804396,2.1994168596707775e-11,2.5,79
-1.9750413973233334,3.714609234636575,0.5899356206408036,2.1339203080298913e-11,2.5,80
-1.98750749460297,3.7268890998519653,0.588550694498832,2.0677560192103427e-11,2.5,81
-2.004413184810056,3.7228578316247187,0.584433104772871,2.00410309569534e-11,2.5,82
-2.018726642066161,3.726620620404439,0.5809084809110832,1.9418603451692818e-11,2.5,83
-2.0331921641528634,3.7298181944861715,0.5773726806940687,1.881135456604047e-11,2.5,84
-2.047385161004446,3.727726373338863,0.5737596829073741,1.8228709282353364e-11,2.5,85
-2.062737166651862,3.741509572439006,0.5731316538398881,1.764383187422338e-11,2.5,86
-2.073363655690316,3.7412063417779917,0.5702301462060859,1.708332372985164e-11,2.5,87
-2.0855293339379934,3.73660033278902,0.5672831693143745,1.6565591447610004e-11,2.5,88
-2.100057484495046,3.74496426364544,0.5651882524628229,1.605608564082066e-11,2.5,89
-2.1043455258631116,3.7314176619606827,0.5631424885230433,1.560230990619919e-11,2.5,90
-2.118173984930493,3.7398039316725944,0.560315849488472,1.5159128027739553e-11,2.5,91
-2.123984545742303,3.720295445126389,0.5558956518921372,1.477528698410171e-11,2.5,92
-2.1382106541529784,3.7200733899014167,0.5527784387718968,1.4412831165532521e-11,2.5,93
-2.15036961845707,3.725468079766137,0.550175189363053,1.4054097684244579e-11,2.5,94
-2.160617592660703,3.72810965528685,0.5473883181169625,1.37062965759054e-11,2.5,95
-2.1749644835818476,3.7353162355347607,0.545583051889109,1.3355202561743951e-11,2.5,96
-2.184743437362811,3.7366254836232216,0.542834639277342,1.3015396910468471e-11,2.5,97
-2.1956802173454295,3.739730781929349,0.540173841059392,1.2683757195455341e-11,2.5,98
-2.2048241161182367,3.743966824601294,0.5378149306720169,1.2356168097558401e-11,2.5,99
-2.215467658239722,3.746272990702858,0.5350513573221451,1.2037181077555948e-11,2.5,100
-2.224217580236056,3.7501519774465994,0.5328676481568708,1.1724524673539362e-11,2.5,101
-2.2360407286895154,3.751118290469983,0.5303694078269092,1.1423623953287965e-11,2.5,102
-2.2529719913892605,3.7378499157398446,0.5334108272518149,1.116249617999422e-11,2.5,103
-2.271374891375059,3.6928062996560205,0.5222040745521564,1.0945268107228032e-11,2.5,104
-2.280351631365624,3.6656557315535085,0.5146000339251363,1.0769562362816037e-11,2.5,105
-2.2637834979256266,3.6476196477041745,0.5124792335857382,1.0656004350962348e-11,2.5,106
-2.271511899454919,3.653233649366973,0.5098434019592575,1.0552931616161157e-11,2.5,107
-2.2763534411282973,3.6553548147704404,0.507807556938211,1.045661801045602e-11,2.5,108
-2.2841176227497857,3.6583955523591323,0.5058061457775889,1.0365580434102148e-11,2.5,109
-2.290299442348707,3.661607212472561,0.504069800549303,1.028471904432262e-11,2.5,110
-2.300643192919179,3.666149451646236,0.5021364732599569,1.0202750431377595e-11,2.5,111
-2.3124284790461203,3.669502978006909,0.4998104490821352,1.0110653319508683e-11,2.5,112
-2.3208415619398477,3.672468079251737,0.4975848960679171,1.0017349428596979e-11,2.5,113
-2.330436499538442,3.6757349810932562,0.4953761880135219,9.921355109140493e-12,2.5,114
-2.338932595813894,3.678907638625482,0.4933320545382527,9.828568473940063e-12,2.5,115
-2.3483353223050476,3.681797337009502,0.49106017591668705,9.733640255970134e-12,2.5,116
-2.355172416814056,3.6849192555124426,0.48956489953320026,9.644958338309774e-12,2.5,117
-2.361207328972313,3.6868789422588715,0.48932374475678786,9.57282530604535e-12,2.5,118
