iteration,best_obj_val
1,-20.990016207516724
2,-20.87551785083373
3,-20.709754128111992
4,-20.595328999672926
5,-20.595328999672926
6,-20.595328999672926
7,-20.442482810316804
8,-20.442482810316804
9,-20.442482810316804
10,-20.442482810316804
11,-20.442482810316804
12,-20.442482810316804
13,-20.442482810316804
14,-20.431313377802987
15,-20.431313377802987
16,-20.431313377802987
17,-20.399917690285474
18,-20.399917690285474
19,-20.399917690285474
20,-20.399917690285474
21,-20.39951815758753
22,-20.39951815758753
23,-20.39951815758753
24,-20.39951815758753
25,-20.384763058611632
26,-20.384763058611632
27,-20.384763058611632
28,-20.384763058611632
29,-20.384763058611632
30,-20.381709260000147
31,-20.381709260000147
32,-20.379999527544978
33,-20.379999527544978
34,-20.365969112082144
35,-20.360745801601357
36,-20.357297471830176
37,-20.356373680151158
38,-20.351255954360365
39,-20.351255954360365
40,-20.351255954360365
41,-20.351255954360365
42,-20.346539680193896
43,-20.346539680193896
44,-20.344501754252693
45,-20.344501754252693
46,-20.338906681663545
47,-20.338906681663545
48,-20.338906681663545
49,-20.338906681663545
50,-20.338906681663545
51,-20.338906681663545
52,-20.338906681663545
53,-20.338906681663545
54,-20.338906681663545
55,-20.338906681663545
56,-20.33178911147765
57,-20.32894315722279
58,-20.325578554340044
59,-20.325578554340044
60,-20.316421831848515
61,-20.311693791348613
62,-20.310732715033215
63,-20.310732715033215
64,-20.300076354894077
65,-20.294933033172793
66,-20.29237058723805
67,-20.29237058723805
68,-20.29237058723805
69,-20.29237058723805
70,-20.28781267635811
71,-20.28781267635811
72,-20.28679624376127
73,-20.285605065180512
74,-20.283862128209453
75,-20.282696654147017
76,-20.282696654147017
77,-20.27627623368569
78,-20.27284297383003
79,-20.269743127812074
80,-20.267655520918204
81,-20.267161976830877
82,-20.267159608636693
83,-20.267050624529013
84,-20.266507918070868
85,-20.266507918070868
86,-20.266507918070868
87,-20.266507918070868
88,-20.262430762025403
89,-20.260710974188008
90,-20.259308846100712
91,-20.25301029741503
92,-20.25301029741503
93,-20.25124447058865
94,-20.25124447058865
95,-20.25124447058865
96,-20.25124447058865
97,-20.249398162433064
98,-20.249398162433064
99,-20.236753548082998
100,-20.230750443846745
101,-20.22543891865288
102,-20.220575760182424
103,-20.21620659099632
104,-20.21302338693171
105,-20.210038053159902
106,-20.207867519783115
107,-20.207867519783115
108,-20.207867519783115
109,-20.207867519783115
110,-20.204690525195517
111,-20.204690525195517
112,-20.204690525195517
113,-20.196683494834417
114,-20.192109318265498
115,-20.188604168606528
116,-20.186638302584537
117,-20.186638302584537
118,-20.186631877513374
119,-20.18659949641241
120,-20.18659949641241
121,-20.180117580034597
122,-20.176994918782697
123,-20.1758484326569
124,-20.1758484326569
125,-20.17396967009862
126,-20.170155933659554
127,-20.167110276262584
128,-20.166254265368867
129,-20.163275432602088
130,-20.163275432602088
131,-20.15446259694225
132,-20.148655555459857
133,-20.14311516964818
134,-20.138642343501967
135,-20.135193808786262
136,-20.134177460401883
137,-20.134177460401883
138,-20.134177460401883
139,-20.134177460401883
140,-20.13345982940926
141,-20.13345982940926
142,-20.131314488414276
143,-20.126471567770665
144,-20.12379642786152
145,-20.12379642786152
146,-20.122682832994716
147,-20.122682832994716
148,-20.119267215058322
149,-20.116354120692836
150,-20.114088286641618
151,-20.11257365974757
152,-20.11257365974757
153,-20.11257365974757
154,-20.108043313700932
155,-20.108043313700932
156,-20.103826652035053
157,-20.10280858746037
158,-20.10280858746037
159,-20.10043499397005
160,-20.10043499397005
161,-20.100230434658283
162,-20.09865569981906
163,-20.09865569981906
164,-20.09865569981906
165,-20.093021238252994
166,-20.089951487164896
167,-20.087574364831003
168,-20.086272265780504
169,-20.086272265780504
170,-20.084173521205866
171,-20.084173521205866
172,-20.080325651120287
173,-20.078507405452562
174,-20.07737087868237
175,-20.077253570668024
176,-20.077253570668024
177,-20.076852167214263
178,-20.076852167214263
179,-20.076852167214263
180,-20.073217753707254
181,-20.073217753707254
182,-20.070136271736825
183,-20.06861022706479
184,-20.068546938688538
185,-20.068197126069485
186,-20.068197126069485
187,-20.068197126069485
188,-20.063086550789702
189,-20.0602757748692
190,-20.058175181145526
191,-20.056607830324086
192,-20.055500758421168
193,-20.055134757828245
194,-20.055134757828245
195,-20.055134757828245
196,-20.053467608786896
197,-20.051625648884364
198,-20.051625648884364
199,-20.050690053880444
200,-20.050690053880444
201,-20.050690053880444
202,-20.050690053880444
203,-20.050690053880444
204,-20.050690053880444
205,-20.046264654944185
206,-20.045139650186005
