iteration,best_obj_val
1,-21.079277206611078
2,-20.921643348031424
3,-20.901370241507887
4,-20.901370241507887
5,-20.901370241507887
6,-20.901370241507887
7,-20.901370241507887
8,-20.892758689309808
9,-20.881964455808742
10,-20.8626398110399
11,-20.825728995373204
12,-20.804803845781837
13,-20.804803845781837
14,-20.802661772087003
15,-20.802661772087003
16,-20.802661772087003
17,-20.771607552906385
18,-20.766894768362388
19,-20.764185780032896
20,-20.764185780032896
21,-20.763414080783296
22,-20.763414080783296
23,-20.760608564293584
24,-20.760235901501574
25,-20.760235901501574
26,-20.7547838600897
27,-20.75336568602823
28,-20.75336568602823
29,-20.750429926339564
30,-20.748475833836732
31,-20.74680277610761
32,-20.745382084328906
33,-20.74507807945368
34,-20.74507807945368
35,-20.743647798582145
36,-20.739168265671125
37,-20.737454011859423
38,-20.737454011859423
39,-20.736172350337704
40,-20.734672661460753
41,-20.734672661460753
42,-20.73051364714501
43,-20.72913544635443
44,-20.72804061087663
45,-20.727899573479995
46,-20.727899573479995
47,-20.727899573479995
48,-20.724376863388176
49,-20.723586076688154
50,-20.721144745869715
51,-20.719226162618913
52,-20.717303273388847
53,-20.715574950514558
54,-20.713999847153655
55,-20.712569918428944
56,-20.711497218835355
57,-20.710906175646684
58,-20.71060156831743
59,-20.71060156831743
60,-20.71060156831743
61,-20.70611688130607
62,-20.70381048465986
63,-20.702263352555804
64,-20.700892853451673
65,-20.699755946005254
66,-20.699755946005254
67,-20.699755946005254
68,-20.699755946005254
69,-20.695932259259543
70,-20.693641494608574
71,-20.69192850230591
72,-20.69130939068516
73,-20.689396702513385
74,-20.688871837404612
75,-20.688508439609457
76,-20.688508439609457
77,-20.68825822714186
78,-20.686412706036773
79,-20.686412706036773
80,-20.686412706036773
81,-20.684730463739367
82,-20.684730463739367
83,-20.684730463739367
84,-20.681543331582134
85,-20.679493127772325
86,-20.67804590981728
87,-20.676913193426874
88,-20.67634288666344
89,-20.675383110668086
90,-20.675383110668086
91,-20.67375727405237
92,-20.673019060419527
93,-20.673019060419527
94,-20.67300426275133
95,-20.67300426275133
96,-20.67300426275133
97,-20.671870582770232
98,-20.671870582770232
99,-20.67161693974018
100,-20.668824806247144
101,-20.668092798400494
102,-20.66751157460827
103,-20.66720664207116
104,-20.66699590218878
105,-20.66699590218878
106,-20.66699590218878
107,-20.663997020256165
108,-20.662614223404105
109,-20.66021682007018
110,-20.65895950845032
111,-20.657710162845735
112,-20.65620097479238
113,-20.655306125497603
114,-20.65407729492774
115,-20.653284696286107
116,-20.65305124685601
117,-20.652195261502992
118,-20.652195261502992
119,-20.652195261502992
120,-20.652195261502992
121,-20.65017303508104
122,-20.64939731556454
123,-20.64939731556454
124,-20.64927316212401
125,-20.64927316212401
126,-20.64927316212401
127,-20.646008385164464
128,-20.644712495563052
129,-20.643535063207867
130,-20.642476742376143
131,-20.641145986764474
132,-20.640396468158354
133,-20.640026715846194
134,-20.640026715846194
135,-20.639838165250126
136,-20.639838165250126
137,-20.637270274123217
138,-20.635847325887447
139,-20.63492038323195
140,-20.634346150037587
141,-20.634132229829465
142,-20.634132229829465
143,-20.633730963212372
144,-20.633730963212372
145,-20.633730963212372
