iteration,best_obj_val
1,-181697.93206509
2,-156099.24313636
3,-156099.24313636
4,-156099.24313636
5,-148235.75959823
6,-148235.75959823
7,-148235.75959823
8,-148235.75959823
9,-148235.75959823
10,-148235.75959823
11,-148235.75959823
12,-148235.75959823
13,-148235.75959823
14,-148235.75959823
15,-148235.75959823
16,-148235.75959823
17,-148235.75959823
18,-148235.75959823
19,-148235.75959823
20,-148235.75959823
21,-148235.75959823
22,-148235.75959823
23,-148235.75959823
24,-148235.75959823
25,-148235.75959823
26,-148235.75959823
27,-148235.75959823
28,-148235.75959823
29,-148235.75959823
30,-148235.75959823
31,-148235.75959823
32,-116784.42801188
33,-116784.42801188
34,-116784.42801188
35,-116784.42801188
36,-95797.49964293
37,-95797.49964293
38,-95797.49964293
39,-95797.49964293
40,-95797.49964293
41,-95797.49964293
42,-95797.49964293
43,-95797.49964293
44,-95797.49964293
45,-95797.49964293
46,-95797.49964293
47,-95797.49964293
48,-95797.49964293
49,-95797.49964293
50,-95797.49964293
51,-95797.49964293
52,-95797.49964293
53,-95797.49964293
54,-95797.49964293
55,-95797.49964293
56,-95797.49964293
57,-95797.49964293
58,-95797.49964293
59,-95797.49964293
60,-95797.49964293
61,-95797.49964293
62,-95797.49964293
63,-95797.49964293
64,-95797.49964293
65,-95797.49964293
66,-95797.49964293
67,-95797.49964293
68,-95797.49964293
69,-95797.49964293
70,-95797.49964293
71,-95797.49964293
72,-95797.49964293
73,-76775.24166675
74,-76775.24166675
75,-76775.24166675
76,-76775.24166675
77,-76775.24166675
78,-76775.24166675
79,-76775.24166675
80,-76775.24166675
81,-76775.24166675
82,-76775.24166675
83,-76775.24166675
84,-76775.24166675
85,-76775.24166675
86,-76775.24166675
87,-76775.24166675
88,-76775.24166675
89,-45705.6080212
90,-45705.6080212
91,-45705.6080212
92,-45705.6080212
93,-45705.6080212
94,-45705.6080212
95,-45705.6080212
96,-45705.6080212
97,-37403.5809877
98,-37403.5809877
99,-37403.5809877
100,-37403.5809877
101,-37403.5809877
102,-37403.5809877
103,-37403.5809877
104,-37403.5809877
105,-37403.5809877
106,-37403.5809877
107,-37403.5809877
108,-37403.5809877
109,-37403.5809877
110,-37403.5809877
111,-37403.5809877
112,-37403.5809877
113,-37403.5809877
114,-37403.5809877
115,-37403.5809877
116,-37403.5809877
117,-37403.5809877
118,-37403.5809877
119,-37403.5809877
120,-37403.5809877
121,-37403.5809877
122,-37403.5809877
123,-37403.5809877
124,-37403.5809877
125,-37403.5809877
126,-37403.5809877
127,-37403.5809877
128,-37403.5809877
129,-37403.5809877
130,-37403.5809877
131,-37403.5809877
132,-37403.5809877
133,-37403.5809877
134,-37403.5809877
135,-37403.5809877
136,-37403.5809877
137,-37403.5809877
138,-37403.5809877
139,-37403.5809877
140,-37403.5809877
141,-37403.5809877
142,-37403.5809877
143,-37403.5809877
144,-37403.5809877
145,-37403.5809877
146,-37403.5809877
147,-37403.5809877
148,-37403.5809877
149,-37403.5809877
150,-37403.5809877
151,-37403.5809877
152,-37403.5809877
153,-37403.5809877
154,-37403.5809877
155,-37403.5809877
156,-37403.5809877
157,-37403.5809877
158,-37403.5809877
159,-37403.5809877
160,-37403.5809877
161,-37403.5809877
162,-37403.5809877
163,-37403.5809877
164,-37403.5809877
165,-37403.5809877
166,-37403.5809877
167,-37403.5809877
168,-37403.5809877
169,-37403.5809877
170,-37403.5809877
171,-37403.5809877
172,-37403.5809877
173,-37403.5809877
174,-37403.5809877
175,-37403.5809877
176,-37403.5809877
177,-37403.5809877
178,-37403.5809877
179,-37403.5809877
180,-37403.5809877
181,-37403.5809877
182,-37403.5809877
183,-37403.5809877
184,-37403.5809877
185,-37403.5809877
186,-37403.5809877
187,-31279.58603317
188,-31279.58603317
189,-31279.58603317
190,-31279.58603317
191,-31279.58603317
192,-31279.58603317
193,-31279.58603317
194,-31279.58603317
195,-31279.58603317
196,-31279.58603317
197,-31279.58603317
198,-31279.58603317
199,-31279.58603317
200,-31279.58603317
201,-31279.58603317
202,-31279.58603317
203,-31279.58603317
204,-31279.58603317
205,-31279.58603317
206,-31279.58603317
207,-31279.58603317
208,-31279.58603317
209,-31279.58603317
210,-31279.58603317
211,-31279.58603317
212,-31279.58603317
213,-31279.58603317
214,-31279.58603317
215,-31279.58603317
216,-31279.58603317
217,-31279.58603317
218,-31279.58603317
219,-31279.58603317
220,-31279.58603317
221,-31279.58603317
222,-31279.58603317
223,-31279.58603317
224,-31279.58603317
225,-31279.58603317
226,-31279.58603317
227,-27296.68919195
228,-27296.68919195
229,-27296.68919195
230,-27296.68919195
231,-27296.68919195
232,-27296.68919195
233,-27296.68919195
234,-27296.68919195
235,-27296.68919195
236,-27296.68919195
237,-27296.68919195
238,-27296.68919195
239,-27296.68919195
240,-27296.68919195
241,-27296.68919195
242,-27296.68919195
243,-27296.68919195
244,-27296.68919195
245,-27296.68919195
246,-27296.68919195
247,-27296.68919195
248,-27296.68919195
249,-27296.68919195
250,-27296.68919195
251,-27296.68919195
252,-27296.68919195
253,-27296.68919195
254,-27296.68919195
255,-27296.68919195
256,-27296.68919195
257,-27296.68919195
258,-27296.68919195
259,-27296.68919195
260,-27296.68919195
261,-27296.68919195
262,-27296.68919195
263,-20662.52199291
264,-20662.52199291
265,-20662.52199291
266,-20662.52199291
267,-20662.52199291
268,-20662.52199291
269,-20662.52199291
270,-20662.52199291
271,-20662.52199291
272,-20662.52199291
273,-20662.52199291
274,-20662.52199291
275,-20662.52199291
276,-20662.52199291
277,-20662.52199291
278,-20662.52199291
279,-20662.52199291
280,-20662.52199291
281,-16280.39020831
