iteration,best_obj_val
1,-153084.05383870067
2,-153084.0538299842
3,-37388.89152669706
4,-37388.89152669706
5,-37388.89152669706
6,-37388.67432019529
7,-37388.67432019529
8,-37388.67432019529
9,-37388.67432019529
10,-37388.67432019529
11,-37388.21495198207
12,-37388.21495198207
13,-37388.21495198207
14,-37388.21495198207
15,-37377.545180925204
16,-37377.545180925204
17,-37377.545180925204
18,-37377.545180925204
19,-37364.47871285767
20,-37364.47871285767
21,-37364.47871285767
22,-37364.47871285767
23,-37364.47871285767
24,-37364.47871285767
25,-37364.47871285767
26,-37364.47871285767
27,-34971.78174628445
28,-33333.19492223219
29,-32032.60707127012
30,-29387.95302124241
31,-28021.89189221243
32,-28021.89189221243
33,-28021.89189221243
34,-27884.51608177336
35,-27884.51608177336
36,-27884.51608177336
37,-27884.51608177336
38,-27868.729834238893
39,-27868.729834238893
40,-27868.729834238893
41,-27868.729834238893
42,-27199.1527240427
43,-27199.1527240427
44,-26115.68355383377
45,-25337.8953708315
46,-25337.8953708315
47,-25337.8953708315
48,-23626.44138422784
49,-23626.44138422784
50,-23626.44138422784
51,-23626.44138422784
52,-23626.44138422784
53,-23626.44138422784
54,-23163.146113626306
55,-23163.146113626306
56,-23163.146113626306
57,-23163.146113626306
58,-23163.146113626306
59,-23163.146113626306
60,-21963.92549726099
61,-21963.92549726099
62,-21963.92549726099
63,-21963.92549726099
64,-21963.92549726099
65,-20738.514501715894
66,-19671.40354468886
67,-19671.40354468886
68,-19602.867807949086
69,-19602.867807949086
70,-17357.260454177635
71,-15345.423282366584
72,-15345.423282366584
73,-15345.423282366584
74,-15345.423282366584
75,-15345.423282366584
76,-15345.423282366584
77,-15345.423282366584
78,-15345.423282366584
79,-12932.483163329944
80,-12932.483163329944
81,-12932.483163329944
82,-12932.483163329944
83,-12148.186364534133
84,-12148.186364534133
85,-12148.186364534133
86,-10809.221243389637
87,-10809.221243389637
88,-10809.221243389637
89,-10282.0070146107
90,-10282.0070146107
91,-10282.0070146107
92,-10282.0070146107
93,-10282.0070146107
94,-10282.0070146107
95,-10282.0070146107
96,-10142.789557033533
97,-10142.789557033533
98,-10142.789557033533
99,-9569.401481479135
100,-9569.401481479135
101,-9569.401481479135
102,-9569.401481479135
103,-9215.874431944341
104,-9215.874431944341
105,-9215.874431944341
106,-9215.874431944341
107,-9215.874431944341
108,-8898.202985300157
109,-8874.088994159616
110,-8874.088994159616
111,-8874.088994159616
112,-8874.088994159616
113,-8178.040495733576
114,-8178.040495733576
115,-7794.939679784658
116,-7352.349388796314
117,-7352.349388796314
118,-7287.591550554219
119,-7287.591550554219
120,-7287.591550554219
121,-7287.591550554219
122,-6844.654870983706
123,-6844.654870983706
124,-6663.7743165982365
125,-6663.7743165982365
126,-6647.045881319427
127,-6647.045881319427
128,-6514.216016879182
129,-6210.966773170793
130,-5800.467615687377
131,-5504.825576043958
132,-5224.628664651539
133,-4919.009244916351
134,-4919.009244916351
135,-4919.009244916351
136,-4919.009244916351
137,-4628.541932049629
138,-4501.8594917836845
139,-4501.8594917836845
140,-4433.743700050376
141,-4394.5401312553795
142,-4296.069505382747
143,-4296.069505382747
144,-4296.069505382747
145,-4296.069505382747
146,-4283.275845963929
147,-4078.101666283873
148,-4012.506710969123
149,-4012.506710969123
150,-3883.4185833497922
151,-3637.557459627499
152,-3637.557459627499
153,-3353.4759464513345
154,-3274.153606607928
155,-3057.6512934715224
156,-3057.6512934715224
157,-3057.6512934715224
158,-3057.6512934715224
159,-3002.968158938269
160,-3002.968158938269
161,-3002.968158938269
162,-3002.968158938269
163,-3002.968158938269
164,-3002.968158938269
165,-3002.968158938269
166,-3002.968158938269
167,-2837.1657681045035
168,-2837.1657681045035
169,-2771.5403272610797
170,-2771.5403272610797
171,-2625.5883124528214
172,-2625.5883124528214
173,-2601.602752574022
174,-2601.602752574022
175,-2601.602752574022
176,-2601.602752574022
177,-2601.602752574022
178,-2418.729276831413
179,-2418.729276831413
180,-2418.729276831413
181,-2418.729276831413
182,-2418.729276831413
183,-2403.0602246303083
184,-2209.759147831854
185,-2209.759147831854
186,-2209.759147831854
187,-2209.759147831854
188,-2209.759147831854
189,-2209.759147831854
190,-2145.1038041728034
191,-2145.1038041728034
192,-2145.1038041728034
193,-2136.2363745213547
194,-2136.2363745213547
195,-2136.2363745213547
196,-2091.9758786039597
197,-2091.9758786039597
198,-2091.9758786039597
199,-2091.9758786039597
200,-2091.9758786039597
201,-2013.0927250222617
202,-1953.5988466410067
203,-1953.5988466410067
204,-1918.2312324579545
205,-1825.8432882448333
206,-1825.8432882448333
207,-1825.8432882448333
208,-1825.8432882448333
209,-1825.8432882448333
210,-1825.8432882448333
211,-1825.8432882448333
212,-1825.8432882448333
213,-1825.8432882448333
214,-1825.8432882448333
215,-1825.8432882448333
216,-1825.8432882448333
217,-1825.8432882448333
218,-1825.8432882448333
219,-1825.8432882448333
220,-1825.8432882448333
221,-1806.4062830395733
222,-1806.4062830395733
223,-1724.5538354905736
224,-1724.5538354905736
225,-1724.5538354905736
226,-1614.0373831358254
227,-1614.0373831358254
228,-1614.0373831358254
229,-1600.4456938632
230,-1580.8093185549594
231,-1580.8093185549594
232,-1580.8093185549594
233,-1532.054323442739
234,-1532.054323442739
235,-1518.5310113440692
236,-1518.5310113440692
237,-1518.5310113440692
238,-1487.2095750146348
239,-1483.9790318414518
240,-1465.1260729449127
241,-1411.2102637798187
242,-1402.2149644616882
243,-1402.2149644616882
244,-1402.2149644616882
245,-1402.2149644616882
246,-1402.2149644616882
247,-1402.2149644616882
248,-1402.2149644616882
249,-1402.2149644616882
250,-1348.822830418789
251,-1348.822830418789
252,-1348.822830418789
253,-1348.822830418789
254,-1230.8248976032069
255,-1162.9066484273912
256,-1097.6215501007655
257,-1097.6215501007655
258,-1045.5120450520958
259,-1045.5120450520958
260,-1045.5120450520958
261,-1045.5120450520958
262,-1045.5120450520958
263,-1045.5120450520958
264,-1045.5120450520958
265,-1045.5120450520958
266,-1045.5120450520958
267,-1045.5120450520958
268,-1045.5120450520958
269,-1045.5120450520958
270,-1045.5120450520958
271,-1045.5120450520958
272,-1045.5120450520958
273,-1045.5120450520958
274,-1042.6725786901175
275,-1029.7028059594672
276,-1027.9063335288163
277,-1027.9063335288163
278,-1027.9063335288163
279,-1021.9633650794585
280,-1021.9633650794585
281,-1021.9633650794585
282,-976.1437101539641
283,-976.1437101539641
