iteration,best_obj_val
1,-146441.7607592684
2,-146441.7607592684
3,-141504.7664273251
4,-141504.7664273251
5,-141504.7664273251
6,-141504.7664273251
7,-114801.2219907204
8,-108285.70233086613
9,-107948.23718001478
10,-107948.23718001478
11,-103038.57146048336
12,-101549.45483769855
13,-97243.78225407182
14,-97243.78225407182
15,-97179.24984020529
16,-93986.95796733495
17,-91287.01286752225
18,-91287.01286752225
19,-91287.01286752225
20,-91287.01286752225
21,-91287.01286752225
22,-91287.01286752225
23,-91287.01286752225
24,-91287.01286752225
25,-91287.01286752225
26,-91287.01286752225
27,-91287.01286752225
28,-89545.65904248902
29,-89545.65904248902
30,-89383.11734860206
31,-89383.11734860206
32,-89383.11734860206
33,-89383.11734860206
34,-89383.11734860206
35,-89383.11734860206
36,-88911.45698073193
37,-88911.45698073193
38,-88621.60848549822
39,-88621.60848549822
40,-88621.60848549822
41,-88621.60848549822
42,-88621.60848549822
43,-87191.36562129545
44,-87191.36562129545
45,-86469.33643319875
46,-84306.60519957724
47,-84306.60519957724
48,-83780.14257646879
49,-83668.14487003302
50,-83141.46943858298
51,-83141.46943858298
52,-83141.46943858298
53,-82766.14641932123
54,-82176.68628271179
55,-82176.68628271179
56,-82176.68628271179
57,-81403.6815510108
58,-81403.6815510108
59,-81403.6815510108
60,-80085.58925987125
61,-80085.58925987125
62,-79183.42576476246
63,-79183.42576476246
64,-78740.98064313614
65,-78740.98064313614
66,-78740.98064313614
67,-78024.65164246403
68,-76415.38983180298
69,-76415.38983180298
70,-74347.95386572552
71,-73947.31796551071
72,-73947.31796551071
73,-73476.4169752136
74,-73070.48681152008
75,-73070.48681152008
76,-73070.48681152008
77,-73070.48681152008
78,-73070.48681152008
79,-73070.48681152008
80,-72222.85411868169
81,-71683.15431358416
82,-71683.15431358416
83,-71198.97875394388
84,-71198.97875394388
85,-69991.55002353743
86,-69786.15182293358
87,-69786.15182293358
88,-68795.6432070496
89,-68795.6432070496
90,-68736.62933763268
91,-68305.27288475701
92,-67803.36360695337
93,-67478.72799658871
94,-67478.72799658871
95,-67071.19554452409
96,-67071.19554452409
97,-67071.19554452409
98,-67071.19554452409
99,-67071.19554452409
100,-65651.42452746522
101,-65508.582557801186
102,-65508.582557801186
103,-64997.74858744745
104,-64780.679131943696
105,-64371.00194847144
106,-64047.83707033568
107,-64047.83707033568
108,-63668.54583369658
109,-63644.9220100684
110,-63644.9220100684
111,-63644.9220100684
112,-63644.9220100684
113,-63600.326150251734
114,-63600.326150251734
115,-63537.33651515443
116,-63274.315107912385
117,-63274.315107912385
118,-63274.315107912385
119,-63274.315107912385
120,-63274.315107912385
121,-63274.315107912385
122,-63274.315107912385
123,-63242.52020332349
124,-63242.52020332349
125,-63242.52020332349
126,-63242.52020332349
127,-63242.52020332349
128,-63151.871014213546
129,-63151.871014213546
130,-62772.37806317699
131,-62772.37806317699
132,-62772.37806317699
133,-62772.37806317699
134,-62772.37806317699
135,-62666.31942345523
136,-62666.31942345523
137,-62666.31942345523
138,-62666.31942345523
139,-62666.31942345523
140,-62666.31942345523
141,-62666.31942345523
142,-62666.31942345523
143,-62666.31942345523
144,-62666.31942345523
145,-62666.31942345523
146,-62666.31942345523
147,-62419.04171379909
148,-62419.04171379909
149,-62419.04171379909
150,-62409.99682459896
151,-62409.99682459896
152,-62409.99682459896
153,-62118.09237822269
154,-62118.09237822269
155,-61422.36964028217
156,-61422.36964028217
157,-61230.14017553387
158,-60642.55990444321
159,-60642.55990444321
160,-60642.55990444321
161,-60481.394000158056
162,-60278.26908821505
163,-60278.26908821505
164,-60090.549565511225
165,-59711.40930772461
166,-59310.75297632459
167,-59310.75297632459
168,-59310.75297632459
169,-58857.91281538594
170,-58682.60479258655
171,-58682.60479258655
172,-58448.54007799603
173,-58325.7212870634
174,-58301.98569617342
175,-58103.55022626588
176,-57916.13917284775
177,-57916.13917284775
178,-57859.56197550703
179,-57411.3522108153
180,-57411.3522108153
181,-56777.03583430697
182,-56777.03583430697
183,-56595.293361746204
184,-56275.656160322695
185,-56275.656160322695
186,-56108.25779123596
187,-56074.53514657452
188,-56054.95422130028
189,-55867.133417338686
190,-55867.133417338686
191,-55867.133417338686
192,-55363.491341937886
193,-55363.491341937886
194,-55363.491341937886
195,-55363.491341937886
196,-55363.491341937886
197,-55363.491341937886
198,-55363.491341937886
199,-55363.491341937886
200,-55361.49403965051
201,-55265.82179190783
202,-55096.66417608524
203,-55096.66417608524
204,-55096.66417608524
205,-55096.66417608524
206,-55096.66417608524
207,-55082.36896515386
208,-55082.23409904717
209,-55081.726106852555
210,-55046.824941343046
211,-55046.824941343046
212,-54990.17890552973
213,-54990.17890552973
214,-54990.17890552973
215,-54990.17890552973
216,-54932.563697231555
217,-54932.563697231555
218,-54932.563697231555
219,-54932.563697231555
220,-54932.563697231555
221,-54932.563697231555
222,-54918.39927196636
223,-54918.39927196636
224,-54918.39927196636
225,-54918.39927196636
226,-54918.39927196636
227,-54918.39927196636
228,-54918.39927196636
229,-54918.39927196636
230,-54918.39927196636
231,-54918.39927196636
232,-54918.39927196636
233,-54918.39927196636
234,-54918.39927196636
235,-54918.39927196636
236,-54918.39927196636
237,-54918.39927196636
238,-54877.91780375315
239,-54877.91780375315
240,-54717.805654640964
241,-54717.805654640964
242,-54357.64209079139
243,-54357.64209079139
244,-54357.64209079139
245,-54357.64209079139
246,-54357.64209079139
247,-54357.64209079139
248,-54357.64209079139
249,-54357.64209079139
250,-54298.03406349769
251,-54200.297321937855
252,-54200.297321937855
253,-54200.297321937855
254,-54200.297321937855
255,-54200.297321937855
256,-54200.297321937855
257,-54200.297321937855
258,-54200.297321937855
259,-53823.46295454598
260,-53823.46295454598
261,-53811.5674463381
262,-53664.647908975254
263,-53528.64421752973
264,-53031.884846149725
265,-53018.087735926354
266,-52894.12862383279
267,-52464.11401738123
268,-52265.157304340566
269,-52188.45324978393
270,-52054.696469360155
271,-51757.50637766664
272,-51708.08769415165
273,-51616.44350284023
274,-51515.886759868234
275,-51513.11156981749
276,-51363.76511986191
277,-51296.28820106358
278,-51246.41033554189
279,-51225.56771046556
280,-51047.580259069364
281,-51047.580259069364
282,-51042.07182844488
283,-51034.0499032651
284,-50959.19494936351
285,-50765.5622012733
286,-50765.5622012733
287,-50765.5622012733
288,-50765.5622012733
289,-50765.5622012733
290,-50765.5622012733
291,-50765.5622012733
292,-50765.5622012733
293,-50753.1033076727
294,-50753.1033076727
295,-50753.1033076727
296,-50753.1033076727
297,-50753.1033076727
298,-50727.64279774075
299,-50727.64279774075
300,-50699.46464529943
301,-50673.76187591484
302,-50673.76187591484
303,-50673.76187591484
304,-50673.76187591484
305,-50661.75169503218
306,-50661.75169503218
307,-50661.75169503218
308,-50661.75169503218
309,-50661.75169503218
310,-50661.75169503218
311,-50661.75169503218
312,-50661.75169503218
313,-50661.75169503218
314,-50661.75169503218
315,-50661.75169503218
316,-50661.75169503218
317,-50661.75169503218
318,-50616.04274598366
319,-50616.04274598366
320,-50616.04274598366
321,-50616.04274598366
322,-50616.04274598366
323,-50616.04274598366
324,-50616.04274598366
325,-50616.04274598366
326,-50616.04274598366
327,-50616.04274598366
328,-50616.04274598366
329,-50616.04274598366
330,-50616.04274598366
331,-50616.04274598366
332,-50616.04274598366
333,-50616.04274598366
334,-50616.04274598366
335,-50616.04274598366
336,-50616.04274598366
337,-50616.04274598366
338,-50616.04274598366
339,-50573.14000383978
340,-50573.14000383978
341,-50573.14000383978
342,-50573.14000383978
343,-50573.14000383978
344,-50509.20234944012
345,-50509.20234944012
346,-50454.27408732949
347,-50454.27408732949
348,-50454.27408732949
349,-50454.27408732949
350,-50325.5113744839
351,-50325.5113744839
352,-50325.5113744839
353,-50289.6805940427
354,-50289.6805940427
355,-50289.6805940427
356,-50109.81119794808
357,-50109.81119794808
358,-50109.81119794808
359,-49876.205345064365
360,-49876.205345064365
361,-49876.205345064365
362,-49876.205345064365
363,-49876.205345064365
364,-49499.772343459896
365,-49499.772343459896
366,-49477.0532521806
367,-49409.930734502545
368,-49308.2486067135
369,-49154.073716350824
370,-48908.693134723355
371,-48908.693134723355
372,-48853.393443042216
373,-48621.980113086036
374,-48621.980113086036
375,-48592.068864647445
376,-48552.83104918939
377,-48463.41124269248
378,-48463.41124269248
379,-48428.388447478166
380,-48425.68795148343
381,-48395.672359553675
382,-48364.05010271209
383,-48343.648351073294
384,-48315.65554140141
385,-48303.201700415404
386,-48284.20448679626
387,-48255.85168927174
388,-48255.85168927174
389,-48240.62434013152
390,-48223.27056641417
391,-48223.27056641417
392,-48223.27056641417
393,-48201.60512900344
394,-48196.049168178164
395,-48196.049168178164
396,-48184.616833529464
397,-48176.301033745156
398,-48173.519926394365
399,-48154.22508386827
400,-48154.22508386827
