iteration,best_obj_val
1,-219418.52253572457
2,-180857.79246268905
3,-167558.94137103247
4,-145575.87162935128
5,-145575.87162935128
6,-145575.87162935128
7,-124907.52843169152
8,-124907.52843169152
9,-124221.4709330193
10,-124221.4709330193
11,-124221.4709330193
12,-124221.4709330193
13,-96175.76832638244
14,-96175.76832638244
15,-96175.76832638244
16,-82718.01517348745
17,-82718.01517348745
18,-82473.9464495072
19,-80032.09764576404
20,-80032.09764576404
21,-80032.09764576404
22,-79825.78002187515
23,-75492.70180624934
24,-74719.33666265168
25,-74719.33666265168
26,-72726.76070681012
27,-72726.76070681012
28,-64213.00439841574
29,-64213.00439841574
30,-64213.00439841574
31,-64213.00439841574
32,-64213.00439841574
33,-63104.83417874711
34,-57332.682079016704
35,-53973.25581138825
36,-53973.25581138825
37,-53973.25581138825
38,-53973.25581138825
39,-53973.25581138825
40,-52261.78181007357
41,-52261.78181007357
42,-52261.78181007357
43,-52261.78181007357
44,-52261.78181007357
45,-52261.78181007357
46,-50911.09266701641
47,-50911.09266701641
48,-48945.899214379606
49,-45113.67961873858
50,-45113.67961873858
51,-45113.67961873858
52,-44432.58040342663
53,-44432.58040342663
54,-44432.58040342663
55,-44432.58040342663
56,-41637.37454541119
57,-41378.06914222609
58,-39081.71109190771
59,-39081.71109190771
60,-39081.71109190771
61,-39081.71109190771
62,-38751.406572530635
63,-36155.041190514676
64,-36155.041190514676
65,-36155.041190514676
66,-36155.041190514676
67,-36155.041190514676
68,-36155.041190514676
69,-36155.041190514676
70,-33700.4644055577
71,-33700.4644055577
72,-33700.4644055577
73,-32451.92962861626
74,-32451.92962861626
75,-32451.92962861626
76,-32451.92962861626
77,-32423.154924549508
78,-31385.277211195626
79,-31385.277211195626
80,-31385.277211195626
81,-31358.55014920364
82,-31330.06161768715
83,-30772.713014173896
84,-30772.713014173896
85,-30143.8188908883
86,-29532.50081684721
87,-27361.5176828269
88,-27361.5176828269
89,-25669.747890691924
90,-25669.747890691924
91,-23876.60750798655
92,-23351.44375901238
93,-23334.4844361774
94,-23334.4844361774
95,-20336.518316332367
96,-20336.518316332367
97,-20336.518316332367
98,-20336.518316332367
99,-19182.986681354254
100,-18188.700017883213
101,-18188.700017883213
102,-18188.700017883213
103,-18020.091771006973
104,-17431.799469216396
105,-17431.799469216396
106,-17431.799469216396
107,-15892.375389774075
108,-15783.003275057057
109,-15407.619555826099
110,-15339.868815746642
111,-15339.868815746642
112,-15339.868815746642
113,-15154.923588146554
114,-14972.268550633044
115,-14972.268550633044
116,-14577.55463690052
117,-14577.55463690052
118,-14512.524402060573
119,-14512.524402060573
120,-14250.20289108469
121,-13358.90822380724
122,-13358.90822380724
123,-13358.90822380724
124,-13358.90822380724
125,-13358.90822380724
126,-13358.90822380724
127,-13358.90822380724
128,-13358.90822380724
129,-13358.90822380724
130,-13358.90822380724
131,-12494.246500367293
132,-12468.942085767621
133,-12468.942085767621
134,-12468.942085767621
135,-12468.942085767621
136,-12468.942085767621
137,-12468.942085767621
138,-12134.849983148819
139,-12134.849983148819
140,-12134.849983148819
141,-12134.849983148819
142,-12134.849983148819
143,-11932.416343143595
144,-11932.416343143595
145,-11932.416343143595
146,-11932.416343143595
147,-11882.297838238717
148,-11759.9752441914
149,-11689.219471689685
150,-11283.89593958399
151,-10697.40828209358
152,-10697.40828209358
153,-10697.40828209358
154,-10697.40828209358
155,-10697.40828209358
156,-10697.40828209358
157,-10697.40828209358
158,-10697.40828209358
159,-10697.40828209358
160,-10697.40828209358
161,-10465.449667640449
162,-10465.449667640449
163,-10465.449667640449
164,-10465.449667640449
165,-10405.607619184551
166,-10405.607619184551
167,-10405.607619184551
168,-10405.607619184551
169,-10405.607619184551
170,-10365.92603040504
171,-10290.179377401553
172,-10290.179377401553
173,-10290.179377401553
174,-10255.306603558363
175,-10255.306603558363
176,-10255.306603558363
177,-10244.72157872264
178,-10218.481480148079
179,-10199.054468825982
180,-10199.054468825982
181,-10167.118400397296
182,-10061.499862180182
183,-10041.157730773351
184,-9944.605528468119
185,-9944.605528468119
186,-9944.605528468119
187,-9944.605528468119
188,-9590.263364203012
189,-9590.263364203012
190,-9590.263364203012
191,-9590.263364203012
192,-9540.04999775077
193,-9540.04999775077
194,-9540.04999775077
195,-9458.720269151623
196,-9458.720269151623
197,-9401.210874177455
198,-9401.210874177455
199,-9275.598383409888
200,-9275.598383409888
201,-9275.598383409888
202,-9142.103020148586
203,-9084.244924343258
204,-9084.244924343258
205,-9084.244924343258
206,-9073.293877384473
207,-9045.11529170375
208,-9032.62823601859
209,-9032.62823601859
210,-9012.059980091059
211,-9012.059980091059
212,-9012.059980091059
213,-8975.737556457621
214,-8975.737556457621
215,-8941.66893554604
216,-8922.854304359667
217,-8922.854304359667
218,-8922.854304359667
219,-8922.854304359667
220,-8896.692527115723
221,-8896.692527115723
222,-8894.884684812883
223,-8894.884684812883
224,-8894.884684812883
225,-8756.448744429927
226,-8756.448744429927
227,-8756.448744429927
228,-8731.565704963146
229,-8681.813917229536
230,-8649.91123497305
231,-8649.91123497305
232,-8649.91123497305
233,-8649.91123497305
234,-8603.468510562148
235,-8603.468510562148
236,-8590.65201509089
237,-8590.65201509089
238,-8590.65201509089
239,-8590.65201509089
240,-8590.65201509089
241,-8590.65201509089
242,-8525.316477084025
243,-8525.316477084025
244,-8525.316477084025
245,-8525.316477084025
246,-8525.316477084025
247,-8501.176891898645
248,-8501.176891898645
249,-8489.949316272787
250,-8489.949316272787
251,-8429.559158879963
252,-8429.559158879963
253,-8429.559158879963
254,-8394.807999400347
255,-8385.503340457764
256,-8385.503340457764
257,-8385.503340457764
258,-8369.539159880605
259,-8313.75941671455
260,-8295.718460173117
261,-8258.531031220342
262,-8238.114566143935
263,-8238.114566143935
264,-8238.114566143935
265,-8232.633755682697
266,-8232.633755682697
267,-8232.633755682697
268,-8209.557968729816
269,-8209.557968729816
270,-8208.621910857666
271,-8208.621910857666
272,-8198.576985004323
273,-8198.576985004323
274,-8177.6914239419375
275,-8177.6914239419375
276,-8177.6914239419375
277,-8177.6914239419375
278,-8170.928841781885
279,-8141.894121862531
280,-8141.894121862531
281,-8141.894121862531
282,-8141.894121862531
283,-8141.894121862531
284,-8141.894121862531
285,-8117.251484514589
286,-8117.251484514589
287,-8091.502099368366
288,-8091.502099368366
289,-8078.145899241482
290,-8072.585053533785
291,-8069.849801932855
292,-8049.560186574476
293,-8049.560186574476
294,-8028.312918760216
295,-8028.312918760216
296,-8016.103704431535
297,-8002.969694192197
298,-8002.969694192197
299,-8002.969694192197
300,-7985.864357509792
301,-7972.712870636765
302,-7952.969909541155
303,-7947.730249445134
304,-7947.730249445134
305,-7947.730249445134
306,-7915.218675995361
307,-7915.218675995361
308,-7887.561183987435
309,-7887.561183987435
310,-7878.760766016593
311,-7838.256504136061
312,-7815.558355771805
313,-7815.558355771805
314,-7815.558355771805
315,-7773.3392492569765
316,-7773.3392492569765
317,-7773.3392492569765
318,-7773.3392492569765
319,-7773.3392492569765
320,-7773.3392492569765
321,-7773.3392492569765
322,-7773.3392492569765
323,-7722.243143762505
324,-7722.243143762505
325,-7722.243143762505
326,-7722.243143762505
327,-7687.117148218948
328,-7687.117148218948
329,-7687.117148218948
330,-7687.117148218948
331,-7687.117148218948
332,-7687.117148218948
333,-7687.117148218948
334,-7687.117148218948
335,-7640.981538925455
336,-7640.981538925455
337,-7640.981538925455
338,-7640.981538925455
339,-7640.981538925455
340,-7640.981538925455
341,-7640.981538925455
342,-7640.981538925455
343,-7640.981538925455
344,-7616.06692635257
345,-7616.06692635257
346,-7616.06692635257
347,-7616.06692635257
348,-7616.06692635257
349,-7616.06692635257
350,-7616.06692635257
351,-7584.6476671629225
352,-7584.6476671629225
353,-7584.6476671629225
354,-7584.6476671629225
355,-7584.6476671629225
356,-7584.6476671629225
357,-7578.47000868553
358,-7571.01673545195
359,-7571.01673545195
360,-7565.139835975597
361,-7565.139835975597
362,-7565.139835975597
363,-7565.139835975597
364,-7565.139835975597
365,-7546.827554376873
366,-7546.827554376873
367,-7546.827554376873
368,-7528.861309400468
369,-7528.861309400468
370,-7528.861309400468
371,-7528.861309400468
372,-7528.861309400468
373,-7528.861309400468
374,-7528.861309400468
375,-7528.861309400468
376,-7528.861309400468
377,-7528.861309400468
378,-7528.861309400468
379,-7508.056938585951
380,-7508.056938585951
381,-7508.056938585951
382,-7508.056938585951
383,-7508.056938585951
384,-7508.056938585951
385,-7508.056938585951
386,-7508.056938585951
387,-7496.796748765828
388,-7496.796748765828
389,-7496.796748765828
390,-7496.796748765828
391,-7496.796748765828
392,-7496.796748765828
393,-7496.796748765828
394,-7490.087012093279
395,-7490.087012093279
396,-7490.087012093279
397,-7482.004547071195
398,-7482.004547071195
399,-7482.004547071195
400,-7471.010033501008
