iteration,best_obj_val
1,-172738.3202408361
2,-159078.02666453834
3,-131014.28270329241
4,-114106.2849393351
5,-114106.2849393351
6,-114106.2849393351
7,-83649.14321940519
8,-83649.14321940519
9,-83649.14321940519
10,-83597.724841734
11,-77794.24084929471
12,-77794.24084929471
13,-67902.73692866793
14,-67902.73692866793
15,-67902.73692866793
16,-67902.73692866793
17,-67902.73692866793
18,-67811.78997160403
19,-61107.61115247798
20,-56392.08251167906
21,-55593.26357671434
22,-55593.26357671434
23,-53768.3209765791
24,-51847.88937382474
25,-51847.88937382474
26,-51847.88937382474
27,-49397.1006320019
28,-49397.1006320019
29,-49397.1006320019
30,-48228.69835729563
31,-47839.85082737912
32,-47210.0048304977
33,-46671.38454329877
34,-45091.30664050751
35,-45091.30664050751
36,-45091.30664050751
37,-45091.30664050751
38,-42414.03046683005
39,-42414.03046683005
40,-42414.03046683005
41,-42414.03046683005
42,-42414.03046683005
43,-40780.06701944959
44,-40780.06701944959
45,-40285.8716104383
46,-36022.74091221094
47,-36022.74091221094
48,-36022.74091221094
49,-36022.74091221094
50,-36022.74091221094
51,-36022.74091221094
52,-36022.74091221094
53,-36022.74091221094
54,-34156.48335921612
55,-34156.48335921612
56,-34156.48335921612
57,-34156.48335921612
58,-34156.48335921612
59,-34129.27156620576
60,-32863.91697145063
61,-32863.91697145063
62,-32863.91697145063
63,-32863.91697145063
64,-32863.91697145063
65,-30619.84813497683
66,-30619.84813497683
67,-30617.728027904774
68,-29532.057965185693
69,-28811.527126098274
70,-28811.527126098274
71,-28811.527126098274
72,-28811.527126098274
73,-22737.37572140998
74,-22737.37572140998
75,-22737.37572140998
76,-22737.37572140998
77,-22737.37572140998
78,-22463.17686748953
79,-22463.17686748953
80,-22463.17686748953
81,-21607.901786866547
82,-21607.901786866547
83,-21607.901786866547
84,-21607.901786866547
85,-21607.901786866547
86,-19329.87996646281
87,-19329.87996646281
88,-18367.52125144272
89,-18367.52125144272
90,-18367.52125144272
91,-18023.32534603944
92,-18023.32534603944
93,-18023.32534603944
94,-18023.32534603944
95,-18023.32534603944
96,-18023.32534603944
97,-18023.32534603944
98,-17231.483022124943
99,-17231.483022124943
100,-17152.495127857706
101,-16848.54557641954
102,-16802.81548130465
103,-15539.290166587261
104,-11668.548641534613
105,-10665.55402624968
106,-10561.79552091937
107,-10561.79552091937
108,-10362.27533290073
109,-10362.27533290073
110,-10089.502481820517
111,-10089.502481820517
112,-9771.652900327315
113,-9315.397409170026
114,-8970.42764489681
115,-8970.42764489681
116,-8970.42764489681
117,-8749.06068285738
118,-8749.06068285738
119,-8557.598734327443
120,-8382.245780267469
121,-8382.245780267469
122,-8382.245780267469
123,-8382.245780267469
124,-8382.245780267469
125,-8382.245780267469
126,-7983.788408174439
127,-7983.788408174439
128,-7675.608818388774
129,-7675.608818388774
130,-7219.921332871991
131,-6772.192551299584
132,-6772.192551299584
133,-6760.292765700333
134,-6760.292765700333
135,-6760.292765700333
136,-6595.5653445929265
137,-6422.313427870355
138,-6422.313427870355
139,-6422.313427870355
140,-6422.313427870355
141,-6422.313427870355
142,-6310.453288956854
143,-6310.453288956854
144,-6185.966422207293
145,-6185.966422207293
146,-6177.707807990199
147,-5703.6121162419395
148,-5703.6121162419395
149,-5703.6121162419395
150,-5703.6121162419395
151,-5694.56645558516
152,-5653.405075317218
153,-5653.405075317218
154,-5653.405075317218
155,-5367.40714401763
156,-5367.40714401763
157,-5367.40714401763
158,-5367.40714401763
159,-5195.743280204849
160,-5195.743280204849
161,-5195.743280204849
162,-5195.743280204849
163,-5195.743280204849
164,-5103.433496264321
165,-5008.234674143411
166,-5008.234674143411
167,-4756.600863992183
168,-4663.257628339688
169,-4663.257628339688
170,-4517.589435656734
171,-4425.39758193569
172,-4425.39758193569
173,-4425.39758193569
174,-4284.326955588444
175,-4256.361675378999
176,-4040.400499561457
177,-4040.400499561457
178,-4040.400499561457
179,-3961.0178913147965
180,-3961.0178913147965
181,-3820.8777487249235
182,-3820.8777487249235
183,-3661.7398234133266
184,-3661.7398234133266
185,-3661.7398234133266
186,-3661.7398234133266
187,-3661.7398234133266
188,-3661.7398234133266
189,-3661.7398234133266
190,-3538.655319843387
191,-3538.655319843387
192,-3538.655319843387
193,-3538.655319843387
194,-3528.620556748864
195,-3528.620556748864
196,-3513.2364464746793
197,-3513.2364464746793
198,-3513.2364464746793
199,-3513.2364464746793
200,-3513.2364464746793
201,-3513.2364464746793
202,-3346.0490072526204
203,-3266.8667831147686
204,-3213.6510600511674
205,-3213.6510600511674
206,-3138.3192321409424
207,-3087.7375723788396
208,-3087.261592155451
209,-3005.2351382576667
210,-2926.918562090867
211,-2897.64327291906
212,-2890.148462557871
213,-2842.5535876037347
214,-2842.5535876037347
215,-2821.636422215158
216,-2821.636422215158
217,-2781.4328001377144
218,-2765.8681651036227
219,-2726.2094354157575
220,-2726.2094354157575
221,-2726.2094354157575
222,-2712.2887895202994
223,-2614.0260592555974
224,-2614.0260592555974
225,-2614.0260592555974
226,-2614.0260592555974
227,-2578.0405396827923
228,-2578.0405396827923
229,-2578.0405396827923
230,-2578.0405396827923
231,-2571.336177052983
232,-2571.336177052983
233,-2473.4238973838246
234,-2473.4238973838246
235,-2439.469163466461
236,-2387.078118984027
237,-2350.4717543924016
238,-2350.4717543924016
239,-2338.4795251468436
240,-2329.8007765650705
241,-2313.0930513282883
242,-2313.0930513282883
243,-2301.7620166017136
244,-2301.7620166017136
245,-2301.7620166017136
246,-2262.03224104771
247,-2262.03224104771
248,-2262.03224104771
249,-2212.544650054291
250,-2205.698321774424
251,-2202.5224273082135
252,-2179.6849032072773
253,-2119.2151112166057
254,-2093.930334847327
255,-2073.153762219075
256,-2073.153762219075
257,-1994.3927260349521
258,-1983.5481220815147
259,-1952.9935772368462
260,-1952.9935772368462
261,-1952.9935772368462
262,-1952.9935772368462
263,-1945.7419895518606
264,-1945.7419895518606
265,-1945.7419895518606
266,-1945.7419895518606
267,-1945.7419895518606
268,-1945.7419895518606
269,-1945.7419895518606
270,-1929.7707922525951
271,-1892.985006119618
272,-1876.7802670616657
273,-1876.7802670616657
274,-1876.7802670616657
275,-1817.4859458079595
276,-1776.994669085991
277,-1749.2273535365164
278,-1749.2273535365164
279,-1749.2273535365164
280,-1657.47805961785
281,-1657.47805961785
282,-1620.5567385727127
283,-1620.5567385727127
284,-1620.5567385727127
285,-1599.3825248065925
