iteration,best_obj_val
1,-431393.18113176
2,-431393.18113176
3,-431393.18113176
4,-431393.18113176
5,-431393.18113176
6,-431393.18113176
7,-431393.18113176
8,-431393.18113176
9,-431393.18113176
10,-431393.18113176
11,-431393.18113176
12,-359582.94813046
13,-359582.94813046
14,-272003.65324331
15,-272003.65324331
16,-272003.65324331
17,-272003.65324331
18,-272003.65324331
19,-272003.65324331
20,-272003.65324331
21,-272003.65324331
22,-272003.65324331
23,-272003.65324331
24,-272003.65324331
25,-272003.65324331
26,-272003.65324331
27,-272003.65324331
28,-272003.65324331
29,-272003.65324331
30,-272003.65324331
31,-223838.86470223
32,-176298.95361518
33,-176298.95361518
34,-175279.53349999
35,-175279.53349999
36,-175279.53349999
37,-175279.53349999
38,-175279.53349999
39,-165720.58784128
40,-165720.58784128
41,-165720.58784128
42,-153483.48035106
43,-153483.48035106
44,-153483.48035106
45,-153483.48035106
46,-153483.48035106
47,-153483.48035106
48,-151571.05605171
49,-151571.05605171
50,-151571.05605171
51,-151571.05605171
52,-148056.28351602
53,-148056.28351602
54,-144178.4947156
55,-144178.4947156
56,-144178.4947156
57,-144178.4947156
58,-138113.3302148
59,-138113.3302148
60,-125204.18792975
61,-91732.23810467
62,-91732.23810467
63,-91732.23810467
64,-91732.23810467
65,-91732.23810467
66,-91732.23810467
67,-91732.23810467
68,-91732.23810467
69,-91732.23810467
70,-81035.43043514
71,-81035.43043514
72,-74064.4335089
73,-73146.09082101
74,-73146.09082101
75,-73146.09082101
76,-73146.09082101
77,-73146.09082101
78,-73146.09082101
79,-73146.09082101
80,-73146.09082101
81,-67373.92679
82,-67373.92679
83,-67373.92679
84,-67373.92679
85,-67373.92679
86,-67373.92679
87,-67373.92679
88,-67373.92679
89,-67373.92679
90,-64968.73101328
91,-64968.73101328
92,-64968.73101328
93,-64968.73101328
94,-64968.73101328
95,-64968.73101328
96,-64968.73101328
97,-64968.73101328
98,-64968.73101328
99,-63937.36957727
100,-63937.36957727
101,-63937.36957727
102,-63937.36957727
103,-63937.36957727
104,-63937.36957727
105,-60496.62556631
106,-45811.51997495
107,-43784.57961234
108,-43784.57961234
109,-43784.57961234
110,-43784.57961234
111,-43784.57961234
112,-43784.57961234
113,-43784.57961234
114,-43784.57961234
115,-43784.57961234
116,-43784.57961234
117,-43784.57961234
118,-43784.57961234
119,-43784.57961234
120,-43784.57961234
121,-43784.57961234
122,-42786.4136048
123,-42786.4136048
124,-42786.4136048
125,-42786.4136048
126,-42786.4136048
127,-42786.4136048
128,-42786.4136048
129,-42786.4136048
130,-42786.4136048
131,-42786.4136048
132,-42786.4136048
133,-37715.72778195
134,-37715.72778195
135,-37715.72778195
136,-37715.72778195
137,-35909.6914249
138,-34939.19591673
139,-34939.19591673
140,-34939.19591673
141,-34939.19591673
142,-34939.19591673
143,-34939.19591673
144,-34939.19591673
145,-34939.19591673
146,-34939.19591673
147,-34939.19591673
148,-34939.19591673
149,-34939.19591673
150,-33854.2847151
151,-33854.2847151
152,-31028.24576487
153,-31028.24576487
154,-29474.89459502
155,-29474.89459502
156,-29474.89459502
157,-29474.89459502
158,-29474.89459502
159,-29474.89459502
160,-29474.89459502
161,-29474.89459502
162,-29474.89459502
163,-29474.89459502
164,-29474.89459502
165,-29474.89459502
166,-29474.89459502
167,-29474.89459502
168,-29474.89459502
169,-29474.89459502
170,-29474.89459502
171,-29474.89459502
172,-29474.89459502
173,-29002.58766476
174,-29002.58766476
175,-29002.58766476
176,-29002.58766476
177,-29002.58766476
178,-29002.58766476
179,-29002.58766476
180,-27669.94260367
181,-27669.94260367
182,-27669.94260367
183,-27669.94260367
184,-27669.94260367
185,-27669.94260367
186,-27669.94260367
187,-27669.94260367
188,-27669.94260367
189,-27669.94260367
190,-27669.94260367
191,-27669.94260367
192,-27669.94260367
193,-27669.94260367
194,-27669.94260367
195,-27669.94260367
196,-27669.94260367
197,-27669.94260367
198,-27669.94260367
199,-27669.94260367
200,-27669.94260367
201,-27669.94260367
202,-27669.94260367
203,-27669.94260367
204,-23934.11315418
205,-22582.96004495
206,-21431.16121347
207,-21431.16121347
208,-21431.16121347
209,-21431.16121347
210,-21431.16121347
211,-21431.16121347
212,-21431.16121347
213,-21431.16121347
214,-21431.16121347
215,-21431.16121347
216,-21431.16121347
217,-21431.16121347
218,-21431.16121347
219,-21431.16121347
220,-21431.16121347
221,-21431.16121347
222,-21431.16121347
223,-21431.16121347
224,-21431.16121347
225,-21431.16121347
226,-21431.16121347
227,-21431.16121347
228,-21431.16121347
229,-21431.16121347
230,-21431.16121347
231,-21431.16121347
232,-21431.16121347
233,-21431.16121347
234,-21431.16121347
235,-21431.16121347
236,-21431.16121347
237,-21431.16121347
238,-21431.16121347
239,-21431.16121347
240,-21431.16121347
241,-21431.16121347
242,-21431.16121347
243,-21431.16121347
244,-21431.16121347
245,-21431.16121347
246,-21431.16121347
247,-21431.16121347
248,-21431.16121347
249,-21431.16121347
250,-21431.16121347
251,-21431.16121347
252,-21431.16121347
253,-21431.16121347
254,-21431.16121347
255,-21431.16121347
256,-21431.16121347
257,-21431.16121347
258,-21431.16121347
259,-19447.80390713
260,-19447.80390713
261,-19447.80390713
262,-19447.80390713
263,-19447.80390713
264,-19447.80390713
265,-19447.80390713
266,-19447.80390713
267,-19447.80390713
268,-19447.80390713
269,-19447.80390713
270,-19447.80390713
271,-19447.80390713
272,-19447.80390713
273,-19447.80390713
274,-19447.80390713
275,-19447.80390713
276,-19447.80390713
277,-19447.80390713
278,-19447.80390713
279,-19447.80390713
280,-19447.80390713
281,-19447.80390713
282,-19447.80390713
283,-19447.80390713
284,-19447.80390713
285,-19447.80390713
286,-19447.80390713
287,-19447.80390713
288,-19447.80390713
289,-19447.80390713
290,-19447.80390713
291,-19447.80390713
292,-19447.80390713
293,-19447.80390713
294,-19447.80390713
295,-19447.80390713
296,-19447.80390713
297,-19447.80390713
298,-19447.80390713
299,-19447.80390713
300,-19447.80390713
301,-19447.80390713
302,-19447.80390713
303,-19447.80390713
304,-19447.80390713
305,-19447.80390713
306,-19447.80390713
307,-19447.80390713
308,-19447.80390713
309,-19447.80390713
310,-19447.80390713
311,-19447.80390713
312,-19447.80390713
313,-19447.80390713
314,-19447.80390713
315,-19447.80390713
316,-18987.66911765
317,-18987.66911765
318,-18987.66911765
319,-18987.66911765
320,-18987.66911765
321,-18987.66911765
322,-18987.66911765
323,-18987.66911765
324,-18987.66911765
325,-18987.66911765
326,-18987.66911765
327,-18987.66911765
328,-18987.66911765
329,-18987.66911765
330,-18987.66911765
331,-18987.66911765
332,-18987.66911765
333,-18987.66911765
334,-18987.66911765
335,-18987.66911765
336,-18987.66911765
337,-18987.66911765
338,-18987.66911765
339,-18987.66911765
340,-18987.66911765
341,-18987.66911765
342,-18987.66911765
343,-18987.66911765
344,-18987.66911765
345,-18987.66911765
346,-18987.66911765
347,-18987.66911765
348,-18987.66911765
349,-18987.66911765
350,-18987.66911765
351,-18987.66911765
352,-18987.66911765
353,-18987.66911765
354,-18987.66911765
355,-18987.66911765
356,-18987.66911765
357,-18396.91588228
358,-18396.91588228
359,-18396.91588228
360,-18396.91588228
361,-18396.91588228
362,-18396.91588228
363,-18396.91588228
364,-18396.91588228
365,-18396.91588228
366,-18396.91588228
367,-18396.91588228
368,-18396.91588228
369,-18396.91588228
