iteration,best_obj_val
1,-196112.3827912977
2,-196112.3827912977
3,-164571.84962257743
4,-160599.94457674123
5,-160599.94457674123
6,-160599.94457674123
7,-160599.94457674123
8,-160599.94457674123
9,-160599.94457674123
10,-160599.94457674123
11,-146552.8791932933
12,-146552.8791932933
13,-146552.8791932933
14,-146552.8791932933
15,-146552.8791932933
16,-146552.8791932933
17,-146552.8791932933
18,-146552.8791932933
19,-146552.8791932933
20,-146552.8791932933
21,-146552.8791932933
22,-146552.8791932933
23,-146552.8791932933
24,-146552.8791932933
25,-146552.8791932933
26,-146552.8791932933
27,-146552.8791932933
28,-146552.8791932933
29,-146552.8791932933
30,-146552.8791932933
31,-146552.8791932933
32,-146552.8791932933
33,-146552.8791932933
34,-146552.8791932933
35,-146552.8791932933
36,-146552.8791932933
37,-146552.8791932933
38,-146552.8791932933
39,-146552.8791932933
40,-146552.8791932933
41,-146552.8791932933
42,-146449.316337604
43,-146449.316337604
44,-67406.47230353816
45,-67365.41269744557
46,-67365.41269744557
47,-67365.41269744557
48,-67365.41269744557
49,-67365.41269744557
50,-67365.41269744557
51,-67365.41269744557
52,-67365.41269744557
53,-67365.41269744557
54,-66540.00185197084
55,-66540.00185197084
56,-66540.00185197084
57,-61175.38272546974
58,-61175.38272546974
59,-61175.38272546974
60,-61175.38272546974
61,-61175.38272546974
62,-60974.60018070056
63,-60974.60018070056
64,-60974.60018070056
65,-60974.60018070056
66,-55150.30155472311
67,-55150.30155472311
68,-55150.30155472311
69,-55150.30155472311
70,-55150.30155472311
71,-55150.30155472311
72,-55150.30155472311
73,-55150.30155472311
74,-55150.30155472311
75,-55150.30155472311
76,-52218.89412830987
77,-52218.89412830987
78,-52218.89412830987
79,-52218.89412830987
80,-52218.89412830987
81,-52218.89412830987
82,-52218.89412830987
83,-52218.89412830987
84,-48411.148725933446
85,-48411.148725933446
86,-48390.9687223233
87,-48390.9687223233
88,-48390.9687223233
89,-48390.9687223233
90,-48390.9687223233
91,-48390.9687223233
92,-48390.9687223233
93,-43128.533403912355
94,-43128.533403912355
95,-43128.533403912355
96,-43128.533403912355
97,-43128.533403912355
98,-43128.533403912355
99,-43128.533403912355
100,-43128.533403912355
101,-43128.533403912355
102,-40341.73172207991
103,-40341.73172207991
104,-40341.73172207991
105,-40341.73172207991
106,-40341.73172207991
107,-40341.73172207991
108,-40341.73172207991
109,-40341.73172207991
110,-40341.73172207991
111,-40341.73172207991
112,-37872.88458159112
113,-37872.88458159112
114,-37872.88458159112
115,-37872.88458159112
116,-37872.88458159112
117,-37872.88458159112
118,-37872.88458159112
119,-37872.88458159112
120,-37872.88458159112
121,-37055.89209913574
122,-37055.89209913574
123,-37055.89209913574
124,-37055.89209913574
125,-37055.89209913574
126,-36883.35891864256
127,-36883.35891864256
128,-36883.35891864256
129,-36455.39706709046
130,-36455.39706709046
131,-36455.39706709046
132,-36455.39706709046
133,-34975.78840904984
134,-34915.91595758322
135,-34915.91595758322
136,-34915.91595758322
137,-34915.91595758322
138,-34915.91595758322
139,-34744.744976355985
140,-33652.01125677729
141,-33652.01125677729
142,-33652.01125677729
143,-33652.01125677729
144,-33652.01125677729
145,-33652.01125677729
146,-33652.01125677729
147,-33652.01125677729
148,-33652.01125677729
149,-33652.01125677729
150,-33652.01125677729
151,-33652.01125677729
152,-33652.01125677729
153,-33652.01125677729
154,-33652.01125677729
155,-33652.01125677729
156,-33652.01125677729
