iteration,best_obj_val
1,-179678.61939647823
2,-179678.61939647823
3,-137227.42771820773
4,-111168.52721889237
5,-98156.40694130803
6,-98156.40694130803
7,-98156.40694130803
8,-92902.85954374769
9,-90302.29645851487
10,-90302.29645851487
11,-85936.22685107397
12,-85936.22685107397
13,-82246.06202865331
14,-80336.17520816828
15,-80336.17520816828
16,-80336.17520816828
17,-73065.04746667061
18,-72168.36426341989
19,-72168.36426341989
20,-68567.30822468098
21,-68567.30822468098
22,-68567.30822468098
23,-68567.30822468098
24,-68567.30822468098
25,-68567.30822468098
26,-68567.30822468098
27,-67334.60450463505
28,-63754.01341615612
29,-63754.01341615612
30,-63754.01341615612
31,-63754.01341615612
32,-63754.01341615612
33,-63754.01341615612
34,-62221.048635207946
35,-62221.048635207946
36,-62221.048635207946
37,-59930.80890772777
38,-59930.80890772777
39,-54969.07723077963
40,-54969.07723077963
41,-54969.07723077963
42,-54969.07723077963
43,-54969.07723077963
44,-54969.07723077963
45,-54969.07723077963
46,-54969.07723077963
47,-54969.07723077963
48,-54969.07723077963
49,-54969.07723077963
50,-54969.07723077963
51,-54969.07723077963
52,-54396.02647245153
53,-54396.02647245153
54,-54396.02647245153
55,-54396.02647245153
56,-53505.4329060046
57,-53505.4329060046
58,-53505.4329060046
59,-53505.4329060046
60,-53505.4329060046
61,-53505.4329060046
62,-51734.68631642382
63,-51734.68631642382
64,-51734.68631642382
65,-51734.68631642382
66,-48089.87543977356
67,-48089.87543977356
68,-48089.87543977356
69,-48089.87543977356
70,-47795.469974262676
71,-47795.469974262676
72,-47795.469974262676
73,-45164.0235127658
74,-45164.0235127658
75,-45164.0235127658
76,-45164.0235127658
77,-45164.0235127658
78,-45164.0235127658
79,-45164.0235127658
80,-45164.0235127658
81,-45164.0235127658
82,-43340.13314958458
83,-43340.13314958458
84,-43340.13314958458
85,-43340.13314958458
86,-43340.13314958458
87,-39245.850274363955
88,-38738.53041588891
89,-37531.11801503608
90,-37531.11801503608
91,-37531.11801503608
92,-37425.270395057516
93,-37425.270395057516
94,-35926.63661952091
95,-35926.63661952091
96,-35926.63661952091
97,-35926.63661952091
98,-35926.63661952091
99,-35926.63661952091
100,-35926.63661952091
101,-35607.142942647246
102,-34506.81338886244
103,-34506.81338886244
104,-34506.81338886244
105,-34506.81338886244
106,-34506.81338886244
107,-34506.81338886244
108,-34506.81338886244
109,-34506.81338886244
110,-34506.81338886244
111,-34258.2928943702
112,-34258.2928943702
113,-34258.2928943702
114,-34258.2928943702
115,-34258.2928943702
116,-34258.2928943702
117,-34258.2928943702
118,-34258.2928943702
119,-34258.2928943702
120,-33936.65327897766
121,-33936.65327897766
122,-33185.70974769498
123,-33185.70974769498
124,-33185.70974769498
125,-33185.70974769498
126,-33185.70974769498
127,-33185.70974769498
128,-32980.88078400365
129,-32980.88078400365
130,-32842.573901042844
131,-32712.513997849037
132,-30720.648988149023
133,-30720.648988149023
134,-30720.648988149023
135,-30720.648988149023
136,-30720.648988149023
137,-30720.648988149023
138,-30696.441026627585
139,-30696.441026627585
140,-30696.441026627585
141,-30696.441026627585
142,-30696.441026627585
143,-30696.441026627585
144,-30696.441026627585
145,-30696.441026627585
146,-30696.441026627585
147,-30696.441026627585
148,-30111.36088829354
149,-30111.36088829354
150,-30111.36088829354
151,-30111.36088829354
152,-30111.36088829354
153,-30111.36088829354
154,-30111.36088829354
155,-30111.36088829354
156,-29439.7954213111
157,-29269.294075587084
158,-29218.74153861879
159,-29218.74153861879
160,-29218.74153861879
161,-29218.74153861879
162,-28844.12935699803
163,-28844.12935699803
164,-28844.12935699803
165,-28844.12935699803
166,-28812.493505791605
167,-28524.525368017974
168,-28524.525368017974
169,-28524.525368017974
170,-28464.88558453168
171,-28464.88558453168
172,-28464.88558453168
173,-28464.88558453168
174,-28010.85103452167
175,-28010.85103452167
176,-28010.85103452167
177,-28010.85103452167
178,-27930.590194570326
179,-27930.590194570326
180,-27930.590194570326
181,-27859.11876923768
182,-27859.11876923768
183,-27859.11876923768
184,-27767.15339117506
185,-27767.15339117506
186,-27108.536774997472
187,-27108.536774997472
188,-27108.536774997472
189,-27108.536774997472
190,-27108.536774997472
191,-26924.63569453794
192,-26924.63569453794
193,-26924.63569453794
194,-26924.63569453794
195,-26882.350358633965
196,-26882.350358633965
197,-26241.910174687997
198,-26241.910174687997
199,-26241.910174687997
200,-26241.910174687997
201,-26241.910174687997
202,-22161.16294847955
203,-22161.16294847955
204,-22023.923775274372
205,-22023.923775274372
206,-22023.923775274372
207,-21866.4309969531
208,-21866.4309969531
209,-21866.4309969531
210,-21336.51429269983
211,-21336.51429269983
212,-21334.76635574485
213,-21334.76635574485
214,-21334.76635574485
215,-21005.723326046995
216,-21005.723326046995
217,-21005.723326046995
218,-21005.723326046995
219,-21005.723326046995
220,-20901.258002225466
221,-20901.258002225466
222,-20787.138675061036
223,-20787.138675061036
224,-20787.138675061036
225,-20538.521179249554
226,-20513.005975158267
227,-20475.744613220115
228,-20475.744613220115
229,-20475.744613220115
230,-20475.744613220115
231,-20475.744613220115
232,-20475.744613220115
233,-20303.26221100665
234,-20176.623246157487
235,-20176.623246157487
236,-20176.623246157487
237,-20176.623246157487
238,-20176.623246157487
239,-20176.623246157487
240,-20176.623246157487
241,-20076.72524303869
242,-20076.72524303869
243,-20076.72524303869
244,-20076.72524303869
245,-20076.72524303869
246,-20076.72524303869
247,-20076.72524303869
248,-20076.72524303869
249,-20003.464761114916
250,-20003.464761114916
251,-20003.464761114916
252,-20003.464761114916
253,-20003.464761114916
254,-20003.464761114916
255,-20003.464761114916
256,-20003.464761114916
257,-20003.464761114916
258,-20003.464761114916
259,-20003.464761114916
260,-19903.5000576201
261,-19903.5000576201
262,-19903.5000576201
263,-19713.473722302955
264,-19713.473722302955
265,-19662.309461537425
266,-19662.309461537425
267,-19662.309461537425
268,-19662.309461537425
269,-19571.23275931824
270,-19571.23275931824
271,-19571.23275931824
272,-19571.23275931824
273,-19529.127802966635
274,-19523.35051542508
275,-19523.35051542508
276,-19523.35051542508
277,-19523.35051542508
278,-19523.35051542508
279,-19523.35051542508
280,-19501.017544367252
281,-19444.711707575152
282,-19444.711707575152
283,-19444.711707575152
284,-19397.339273510588
285,-19397.339273510588
286,-19397.339273510588
287,-19397.339273510588
288,-19397.339273510588
289,-19397.339273510588
290,-19384.982654919073
291,-19333.468288616605
292,-19333.468288616605
293,-19333.468288616605
294,-19333.468288616605
295,-19333.468288616605
296,-19333.468288616605
297,-19311.83191712812
298,-19311.83191712812
299,-19311.83191712812
300,-19311.83191712812
301,-19311.83191712812
302,-19311.83191712812
303,-19311.83191712812
304,-19292.31369450843
305,-19292.31369450843
306,-19275.61099396941
307,-19275.61099396941
308,-19235.856625962555
309,-19235.856625962555
310,-19235.856625962555
311,-19235.856625962555
312,-19235.856625962555
313,-19167.35860676527
314,-19167.35860676527
315,-19167.35860676527
316,-19167.35860676527
317,-19167.35860676527
318,-19167.35860676527
319,-19167.35860676527
320,-19167.35860676527
321,-19167.35860676527
322,-19120.89033200849
323,-19120.89033200849
324,-19000.62483349242
325,-19000.62483349242
326,-18951.711473163254
327,-18937.73183546555
328,-18937.73183546555
329,-18937.73183546555
330,-18862.36698607492
331,-18862.36698607492
332,-18862.36698607492
333,-18862.36698607492
334,-18862.36698607492
335,-18862.36698607492
336,-18862.36698607492
337,-18862.36698607492
338,-18862.36698607492
339,-18862.36698607492
340,-18862.36698607492
341,-18862.36698607492
342,-18862.36698607492
343,-18862.36698607492
344,-18862.36698607492
345,-18862.36698607492
346,-18862.36698607492
347,-18862.36698607492
348,-18862.36698607492
349,-18849.7672033433
350,-18849.7672033433
351,-18849.7672033433
352,-18843.274558623
353,-18843.274558623
354,-18809.876105315303
355,-18809.876105315303
356,-18777.20931231148
357,-18777.20931231148
358,-18750.898299841898
359,-18750.898299841898
360,-18745.031463401625
361,-18745.031463401625
362,-18745.031463401625
363,-18745.031463401625
364,-18745.031463401625
365,-18743.16951963309
366,-18743.16951963309
367,-18741.63825628387
368,-18741.63825628387
369,-18716.057484308956
370,-18716.057484308956
371,-18716.057484308956
372,-18716.057484308956
373,-18698.244530293512
374,-18698.244530293512
375,-18698.244530293512
376,-18698.244530293512
377,-18698.244530293512
378,-18698.244530293512
379,-18698.244530293512
380,-18663.65844186837
381,-18663.65844186837
382,-18663.65844186837
383,-18663.65844186837
384,-18663.65844186837
385,-18663.65844186837
386,-18663.65844186837
387,-18663.65844186837
388,-18640.41731906875
389,-18640.41731906875
390,-18633.423727592653
391,-18633.423727592653
392,-18633.423727592653
393,-18633.423727592653
394,-18633.423727592653
395,-18633.423727592653
396,-18633.423727592653
397,-18633.423727592653
398,-18630.334515693503
399,-18624.338422405228
400,-18588.57191324348
