iteration,best_obj_val
1,-89224.87065507664
2,-89224.87065507664
3,-89224.87065507664
4,-89224.87065507664
5,-89224.87065507664
6,-89224.87065507664
7,-89224.87065507664
8,-77013.16275418266
9,-77013.16275418266
10,-77013.16275418266
11,-77013.16275418266
12,-77013.16275418266
13,-77013.16275418266
14,-75949.87307009117
15,-74030.48344568671
16,-73506.62320994472
17,-71082.66565097749
18,-71082.66565097749
19,-71082.66565097749
20,-71082.66565097749
21,-61889.32532685781
22,-61889.32532685781
23,-60774.613076914975
24,-55732.16140638055
25,-53809.95051486243
26,-51836.80630910209
27,-51836.80630910209
28,-51836.80630910209
29,-50933.198784248394
30,-50500.387672008874
31,-50500.387672008874
32,-49822.671866304154
33,-49822.671866304154
34,-49495.912387321354
35,-49495.912387321354
36,-49495.912387321354
37,-49495.912387321354
38,-48578.396757311064
39,-47693.18341611784
40,-47686.20665465141
41,-47686.20665465141
42,-47590.43828873463
43,-47590.43828873463
44,-47590.43828873463
45,-46902.1491701868
46,-46902.1491701868
47,-46759.09770703915
48,-46707.17460092592
49,-46707.17460092592
50,-46707.17460092592
51,-46132.81797140044
52,-46132.81797140044
53,-45397.025886847085
54,-45397.025886847085
55,-45397.025886847085
56,-45397.025886847085
57,-45190.764903171876
58,-45190.764903171876
59,-44819.711034889566
60,-44700.01892847452
61,-44092.853428833725
62,-43939.82034263712
63,-43423.949885908754
64,-42574.81568063366
65,-42574.81568063366
66,-42574.81568063366
67,-42574.81568063366
68,-42574.81568063366
69,-42574.81568063366
70,-42486.53709564752
71,-42294.66602951754
72,-42294.66602951754
73,-41937.91347835185
74,-41937.91347835185
75,-41937.91347835185
76,-41435.21945748829
77,-41435.21945748829
78,-41435.21945748829
79,-41405.235592596015
80,-41405.235592596015
81,-41159.794189707354
82,-41159.794189707354
83,-41159.794189707354
84,-41159.794189707354
85,-41159.794189707354
86,-41159.794189707354
87,-41159.794189707354
88,-40765.10667702896
89,-40765.10667702896
90,-40765.10667702896
91,-40765.10667702896
92,-40344.522966402474
93,-40344.522966402474
94,-40058.37113241585
95,-40058.37113241585
96,-40058.37113241585
97,-39790.774360341944
98,-39790.774360341944
99,-39790.774360341944
100,-39444.29289270693
101,-39444.29289270693
102,-39396.48701200628
103,-39396.48701200628
104,-39396.48701200628
105,-39364.42157367898
106,-39280.74571200013
107,-38744.71818814718
108,-38718.49844721166
109,-38718.49844721166
110,-38718.49844721166
111,-38718.49844721166
112,-38355.10617530791
113,-38355.10617530791
114,-38355.10617530791
115,-38355.10617530791
116,-38266.46526436578
117,-38119.2303386334
118,-38119.2303386334
119,-38119.2303386334
120,-38119.2303386334
121,-38119.2303386334
122,-38119.2303386334
123,-38119.2303386334
124,-37955.886964154415
125,-37714.15117059956
126,-37626.03129762828
127,-37446.76498973579
128,-37418.354136265276
129,-37418.354136265276
130,-37123.34209136008
131,-37123.34209136008
132,-37009.122622669944
133,-37009.122622669944
134,-36669.788925778856
135,-36669.788925778856
136,-36669.788925778856
137,-36644.30997563011
138,-36644.30997563011
139,-36644.30997563011
140,-36500.38731249248
141,-36265.1301781939
142,-36224.70635042569
143,-36224.70635042569
144,-36224.70635042569
145,-35791.53343266276
146,-35721.69400316081
147,-35642.79299549879
148,-35642.79299549879
149,-35642.79299549879
150,-35246.60919005824
151,-35135.538882071654
152,-34668.370848355495
153,-34567.49330618697
154,-34308.928723207166
155,-34136.66032799288
156,-34136.66032799288
157,-34049.281859504095
158,-34049.281859504095
159,-34049.281859504095
160,-34049.281859504095
161,-33932.321499377635
162,-33730.22863803309
163,-33730.22863803309
164,-33701.05596699829
165,-33701.05596699829
166,-33449.588650075384
167,-33449.588650075384
168,-33449.588650075384
169,-33428.17605673997
170,-33073.388651241294
171,-33073.388651241294
172,-33073.388651241294
173,-32974.477848312556
174,-32974.477848312556
175,-32718.320061196093
176,-32718.320061196093
177,-32718.320061196093
178,-32718.320061196093
179,-32718.320061196093
180,-32718.320061196093
181,-32718.320061196093
182,-32718.320061196093
183,-32659.849476563977
184,-32659.849476563977
185,-32659.849476563977
186,-32659.849476563977
187,-32645.31431799718
188,-32645.31431799718
189,-32550.285067431472
190,-32550.285067431472
191,-32349.702249792306
192,-32186.020891179214
193,-32186.020891179214
194,-32186.020891179214
195,-32186.020891179214
196,-32091.904368211683
197,-32074.25323044796
198,-31947.143825955427
199,-31947.143825955427
200,-31851.21181348918
201,-31848.256208377472
202,-31656.186933120887
203,-31656.186933120887
204,-31656.186933120887
205,-31573.2760174569
206,-31458.879980739337
207,-31339.13305827761
208,-31339.13305827761
209,-31250.84264901741
210,-31166.02118493677
