iteration,best_obj_val
1,-89297.2738043313
2,-85103.29868971088
3,-62456.418706947785
4,-50569.64852369604
5,-47633.891603908276
6,-47633.891603908276
7,-47633.891603908276
8,-47633.891603908276
9,-45356.34321152478
10,-45356.34321152478
11,-45356.34321152478
12,-45356.34321152478
13,-45356.34321152478
14,-37423.812182360416
15,-37423.812182360416
16,-37423.812182360416
17,-37423.812182360416
18,-36704.59554665436
19,-34410.81758366405
20,-34410.81758366405
21,-34410.81758366405
22,-33595.947701742654
23,-33595.947701742654
24,-31583.046351200668
25,-31583.046351200668
26,-31583.046351200668
27,-31583.046351200668
28,-31583.046351200668
29,-31523.384349899814
30,-31523.384349899814
31,-31523.384349899814
32,-27977.094849799836
33,-27977.094849799836
34,-27977.094849799836
35,-27977.094849799836
36,-27977.094849799836
37,-25314.776010636288
38,-25314.776010636288
39,-25314.776010636288
40,-25314.776010636288
41,-25314.776010636288
42,-25314.776010636288
43,-25314.776010636288
44,-25314.776010636288
45,-25314.776010636288
46,-25314.776010636288
47,-25314.776010636288
48,-23798.140581161275
49,-23798.140581161275
50,-23798.140581161275
51,-23798.140581161275
52,-23798.140581161275
53,-23798.140581161275
54,-23744.376291294975
55,-21984.194720475418
56,-21984.194720475418
57,-21984.194720475418
58,-21984.194720475418
59,-21984.194720475418
60,-21984.194720475418
61,-21984.194720475418
62,-21984.194720475418
63,-21984.194720475418
64,-21291.834087921015
65,-21291.834087921015
66,-20024.223101231302
67,-19265.853489292032
68,-19265.853489292032
69,-19265.853489292032
70,-16674.80809750776
71,-16674.80809750776
72,-16674.80809750776
73,-16674.80809750776
74,-16674.80809750776
75,-16626.50267925342
76,-16626.50267925342
77,-15721.146951245775
78,-15529.35343731788
79,-15529.35343731788
80,-15529.35343731788
81,-15529.35343731788
82,-15529.35343731788
83,-15529.35343731788
84,-15273.401070900107
85,-15273.401070900107
86,-14892.697201434245
87,-14892.697201434245
88,-13797.978791761754
89,-13797.978791761754
90,-13797.978791761754
91,-13797.978791761754
92,-13797.978791761754
93,-13797.978791761754
94,-13632.985595421853
95,-13632.985595421853
96,-12324.645493867862
97,-11996.778971681519
98,-11996.778971681519
99,-11996.778971681519
100,-10997.692007037338
101,-10997.692007037338
102,-10997.692007037338
103,-10997.692007037338
104,-10993.378524584603
105,-10993.378524584603
106,-10993.378524584603
107,-10993.378524584603
108,-10993.378524584603
109,-10993.378524584603
110,-10076.216293383568
111,-9460.378299718861
112,-9460.378299718861
113,-9203.627514626545
114,-9203.627514626545
115,-8664.744097320261
116,-7908.402960569818
117,-7908.402960569818
118,-7908.402960569818
119,-7065.190253324749
120,-7065.190253324749
121,-7065.190253324749
122,-6774.468428390779
123,-6774.468428390779
124,-6774.468428390779
125,-6774.468428390779
126,-6710.342622368262
127,-6710.342622368262
128,-6356.555306492769
129,-6142.751539719495
130,-6142.751539719495
131,-5884.438903686696
132,-5884.438903686696
133,-5884.438903686696
134,-5884.438903686696
135,-5884.438903686696
136,-5884.438903686696
137,-5884.438903686696
138,-5884.438903686696
139,-5662.927066076189
140,-5641.288387364117
141,-5276.109762024468
142,-5191.397768310715
143,-5191.397768310715
144,-5191.397768310715
145,-5191.397768310715
146,-5050.378044073228
147,-5050.378044073228
148,-5050.378044073228
149,-5050.378044073228
150,-5050.378044073228
151,-4354.242028423048
152,-4354.242028423048
153,-4354.242028423048
154,-4354.242028423048
155,-4354.242028423048
156,-4077.744429759203
157,-4025.052753070674
158,-3243.907409615251
159,-3243.907409615251
160,-3243.907409615251
161,-3243.907409615251
162,-3243.907409615251
163,-3243.907409615251
164,-3210.1313609934364
165,-2662.2352068025716
166,-2662.2352068025716
167,-2662.2352068025716
168,-2473.7149227475456
169,-2154.3302860269077
170,-2154.3302860269077
171,-2154.3302860269077
172,-2154.3302860269077
