iteration,best_obj_val
1,-100138.99047361303
2,-76436.79899367772
3,-76436.79899367772
4,-76436.79899367772
5,-63560.453260513415
6,-59683.35803916225
7,-59683.35803916225
8,-55532.266264809485
9,-55532.266264809485
10,-55021.09277892744
11,-55021.09277892744
12,-52803.74099761326
13,-52803.74099761326
14,-51861.12342329243
15,-51861.12342329243
16,-51721.3304393052
17,-48551.66677629915
18,-47563.467149251206
19,-47563.467149251206
20,-47563.467149251206
21,-45845.37633878862
22,-45374.53559194856
23,-45374.53559194856
24,-43167.87093617051
25,-43167.87093617051
26,-43167.87093617051
27,-43167.87093617051
28,-43167.87093617051
29,-43167.87093617051
30,-43167.87093617051
31,-43167.87093617051
32,-42464.18290085459
33,-40110.15694929202
34,-38441.23560127661
35,-38089.32956300178
36,-38089.32956300178
37,-38089.32956300178
38,-38089.32956300178
39,-38089.32956300178
40,-38089.32956300178
41,-38089.32956300178
42,-38089.32956300178
43,-35754.1311239333
44,-35754.1311239333
45,-34322.8873701173
46,-34322.8873701173
47,-34322.8873701173
48,-34322.8873701173
49,-32706.027500419506
50,-31488.617299950773
51,-31488.617299950773
52,-31488.617299950773
53,-31488.617299950773
54,-31488.617299950773
55,-31488.617299950773
56,-31488.617299950773
57,-31488.617299950773
58,-30868.98936911493
59,-30868.98936911493
60,-30076.327988313642
61,-30076.327988313642
62,-30076.327988313642
63,-30076.327988313642
64,-29114.051891864954
65,-29114.051891864954
66,-29114.051891864954
67,-29114.051891864954
68,-29114.051891864954
69,-29101.449904381996
70,-29101.449904381996
71,-28763.254270689125
72,-28763.254270689125
73,-28763.254270689125
74,-28763.254270689125
75,-28763.254270689125
76,-28763.254270689125
77,-28763.254270689125
78,-27827.718482317257
79,-27827.718482317257
80,-25007.262836507027
81,-25007.262836507027
82,-23457.180292131066
83,-22301.819035575812
84,-22301.819035575812
85,-22301.819035575812
86,-22301.819035575812
87,-21912.02144922422
88,-21912.02144922422
89,-21061.21742175157
90,-21061.21742175157
91,-21061.21742175157
92,-21061.21742175157
93,-19584.019590497173
94,-19584.019590497173
95,-19584.019590497173
96,-19584.019590497173
97,-19584.019590497173
98,-19152.986163720503
99,-19152.986163720503
100,-18814.86573036938
101,-18763.344428139935
102,-18763.344428139935
103,-17303.37680641083
104,-17303.37680641083
105,-17303.37680641083
106,-17303.37680641083
107,-16333.74736905086
108,-16112.470810491857
109,-16112.470810491857
110,-15371.779728595999
111,-15371.779728595999
112,-15371.779728595999
113,-15284.285775702865
114,-14429.000582830571
115,-14429.000582830571
116,-14429.000582830571
117,-14429.000582830571
118,-13083.482329244305
119,-13083.482329244305
120,-13083.482329244305
121,-12786.047411961434
122,-12445.796129187693
123,-12445.796129187693
124,-12445.796129187693
125,-12445.796129187693
126,-12038.387966039834
127,-12038.387966039834
128,-12038.387966039834
129,-12038.387966039834
130,-12038.387966039834
131,-12038.387966039834
132,-11303.332728304518
133,-11043.835693180661
134,-11043.835693180661
135,-11043.835693180661
136,-10686.930984784616
137,-10432.399780535554
138,-10432.399780535554
139,-10432.399780535554
140,-10183.85899465926
141,-10183.85899465926
142,-10183.85899465926
143,-9843.689398773113
144,-9843.689398773113
145,-9711.081054480943
146,-9711.081054480943
147,-9711.081054480943
148,-9711.081054480943
149,-9711.081054480943
150,-9616.166333619385
151,-9616.166333619385
152,-9616.166333619385
153,-9616.166333619385
154,-9616.166333619385
155,-9616.166333619385
156,-9616.166333619385
157,-9616.166333619385
158,-9616.166333619385
159,-9366.296177928358
160,-9202.905627474616
161,-9146.566647329819
162,-9146.566647329819
163,-8496.006792213982
164,-8496.006792213982
165,-8437.810370277713
166,-8437.810370277713
167,-8222.056834618717
168,-8222.056834618717
169,-7602.79479029548
170,-7602.79479029548
171,-7552.767751247764
172,-7552.767751247764
173,-7552.767751247764
174,-7552.767751247764
175,-7552.767751247764
176,-7552.767751247764
177,-7552.767751247764
178,-7552.767751247764
179,-7302.60235260264
180,-7184.1230734857345
181,-7184.1230734857345
182,-7180.384679743764
183,-7143.927836558229
184,-7122.144984652292
185,-7122.144984652292
186,-6480.082431163666
187,-6480.082431163666
188,-6434.373722312282
189,-6342.904503386497
190,-6102.0264884491435
191,-6094.12501774703
192,-6094.12501774703
193,-5262.704513014121
194,-4985.266145596315
195,-4985.266145596315
196,-4985.266145596315
197,-4918.149934300463
198,-4918.149934300463
199,-4918.149934300463
200,-4918.149934300463
201,-4918.149934300463
202,-4776.656129797737
203,-4660.393737701947
204,-4632.48099827647
205,-4632.48099827647
206,-4632.48099827647
207,-4505.725854938315
208,-4505.725854938315
209,-4505.725854938315
210,-4505.725854938315
211,-4505.725854938315
212,-4505.725854938315
213,-4402.103253181362
214,-4353.045202598694
215,-4353.045202598694
216,-4301.978508306153
217,-4301.978508306153
218,-4283.352463928462
219,-4261.952346866771
220,-4154.179291648237
221,-4154.179291648237
222,-4154.179291648237
223,-4154.179291648237
224,-4154.179291648237
225,-4154.179291648237
226,-4016.500204578271
227,-4016.500204578271
228,-4009.3844708953943
229,-4001.295009049002
230,-4001.295009049002
231,-4001.295009049002
232,-4001.295009049002
233,-3970.2269747812775
234,-3970.2269747812775
235,-3970.2269747812775
236,-3970.2269747812775
237,-3970.2269747812775
238,-3842.9694131460997
239,-3842.9694131460997
240,-3842.9694131460997
241,-3796.71205145031
242,-3796.71205145031
243,-3796.71205145031
244,-3796.71205145031
245,-3765.5521418159774
246,-3765.5521418159774
247,-3765.5521418159774
248,-3765.5521418159774
249,-3765.5521418159774
250,-3690.0890776491397
251,-3690.0890776491397
252,-3690.0890776491397
253,-3690.0890776491397
254,-3690.0890776491397
255,-3671.2421320755084
256,-3602.59749367481
257,-3589.9074030774227
258,-3589.9074030774227
259,-3589.9074030774227
260,-3589.9074030774227
261,-3589.9074030774227
262,-3589.9074030774227
263,-3540.8294186046983
264,-3508.906380349477
265,-3508.906380349477
266,-3508.906380349477
267,-3508.906380349477
268,-3508.906380349477
269,-3508.906380349477
270,-3508.906380349477
271,-3508.906380349477
272,-3508.906380349477
273,-3508.906380349477
274,-3508.906380349477
275,-3452.8755799245982
276,-3452.8755799245982
277,-3392.081945908335
278,-3392.081945908335
279,-3392.081945908335
280,-3389.1873204049816
281,-3337.662525456752
282,-3337.662525456752
283,-3337.662525456752
284,-3298.7082620648507
285,-3289.4775167970274
286,-3289.4775167970274
287,-3289.4775167970274
288,-3289.4775167970274
289,-3289.4775167970274
290,-3289.4775167970274
291,-3289.4775167970274
292,-3269.707339410695
293,-3269.707339410695
294,-3251.045967667127
295,-3246.1372868715976
296,-3209.6181213712703
297,-3209.6181213712703
298,-3209.6181213712703
299,-3209.6181213712703
