iteration,best_obj_val
1,-95822.37528574912
2,-84886.89427191632
3,-71087.32061032267
4,-68231.8180663639
5,-52781.52434950514
6,-46599.33445317158
7,-46599.33445317158
8,-46599.33445317158
9,-46599.33445317158
10,-44819.316952450536
11,-44819.316952450536
12,-43174.99567676996
13,-43174.99567676996
14,-43174.99567676996
15,-40682.87409988621
16,-40682.87409988621
17,-40682.87409988621
18,-40682.87409988621
19,-40641.07257203206
20,-40641.07257203206
21,-40127.274470824545
22,-38580.42303167616
23,-38580.42303167616
24,-37923.974342894944
25,-37923.974342894944
26,-37923.974342894944
27,-37923.974342894944
28,-36372.257911237495
29,-36372.257911237495
30,-36372.257911237495
31,-32538.192076723913
32,-32538.192076723913
33,-32538.192076723913
34,-32538.192076723913
35,-32538.192076723913
36,-31577.769662535517
37,-31577.769662535517
38,-31435.59876634238
39,-31435.59876634238
40,-31435.59876634238
41,-29752.138160259237
42,-29752.138160259237
43,-29286.654278409384
44,-29286.654278409384
45,-29286.654278409384
46,-28226.377992526526
47,-28226.377992526526
48,-27767.36759106653
49,-26931.163255338473
50,-26931.163255338473
51,-26599.690163367508
52,-26392.95268679061
53,-25448.66451560836
54,-25448.66451560836
55,-25448.66451560836
56,-25448.66451560836
57,-25103.782445089913
58,-24890.955513478202
59,-24566.939137647336
60,-23522.78630530031
61,-23522.78630530031
62,-23522.78630530031
63,-23522.78630530031
64,-23522.78630530031
65,-23522.78630530031
66,-23443.535895322126
67,-23443.535895322126
68,-22424.740575785923
69,-22424.740575785923
70,-22424.740575785923
71,-22424.740575785923
72,-22424.740575785923
73,-22424.740575785923
74,-20286.600095095288
75,-20286.600095095288
76,-20286.600095095288
77,-20286.600095095288
78,-20286.600095095288
79,-20286.600095095288
80,-19397.051057744287
81,-18070.230254121176
82,-17745.89288874791
83,-17745.89288874791
84,-17346.27422110433
85,-17346.27422110433
86,-17332.193636086966
87,-17332.193636086966
88,-17332.193636086966
89,-17332.193636086966
90,-17253.4915251096
91,-16604.495844564422
92,-16604.495844564422
93,-16604.495844564422
94,-16604.495844564422
95,-15566.880371044605
96,-15156.087967534913
97,-14042.14589222364
98,-14042.14589222364
99,-14042.14589222364
100,-13525.902126358123
101,-13525.902126358123
102,-13525.902126358123
103,-13525.902126358123
104,-13525.902126358123
105,-13525.902126358123
106,-12408.787208293772
107,-12259.979629001298
108,-12259.979629001298
109,-11314.934347887998
110,-11314.934347887998
111,-11075.08570323454
112,-10901.101476482534
113,-10455.084805233979
114,-10455.084805233979
115,-10455.084805233979
116,-10030.55063489741
117,-9941.764581792459
118,-9906.215317209077
119,-9216.511566807007
120,-9216.511566807007
121,-9188.067517524822
122,-8691.117165295838
123,-8691.117165295838
124,-8536.705545181676
125,-8536.705545181676
126,-8536.705545181676
127,-8326.056117113016
128,-8326.056117113016
129,-8326.056117113016
130,-7966.637243473067
131,-6814.997275790818
132,-6300.627041721167
133,-6300.627041721167
134,-6300.627041721167
135,-6300.627041721167
136,-6300.627041721167
137,-6300.627041721167
138,-6300.627041721167
139,-6154.122914589816
140,-5786.583870006961
141,-5786.583870006961
142,-5786.583870006961
143,-5593.028357769869
144,-5593.028357769869
145,-5386.81665597076
146,-5386.81665597076
147,-5386.81665597076
148,-5386.81665597076
149,-5386.81665597076
150,-4892.045711013336
151,-4892.045711013336
152,-4892.045711013336
153,-4892.045711013336
154,-4892.045711013336
155,-4754.962550247981
156,-4166.135773148382
157,-4166.135773148382
158,-4166.135773148382
159,-4166.135773148382
160,-4161.066583499154
161,-4161.066583499154
162,-4161.066583499154
163,-3245.1688310766676
164,-3245.1688310766676
165,-3245.1688310766676
166,-2884.3943146405445
167,-2884.3943146405445
168,-2884.3943146405445
169,-2884.3943146405445
170,-2153.7234914859937
171,-2153.7234914859937
172,-2148.1751023827833
173,-2148.1751023827833
174,-2148.1751023827833
175,-2096.1129184159395
176,-2096.1129184159395
177,-1854.7394035115417
178,-1578.2233005533567
179,-1578.2233005533567
180,-1372.9679251705184
181,-1372.9679251705184
182,-1372.9679251705184
183,-1292.2466547129022
184,-1292.2466547129022
185,-889.8889175235543
186,-889.8889175235543
187,-889.8889175235543
188,-889.8889175235543
189,-889.8889175235543
190,-889.8889175235543
191,-889.8889175235543
192,-889.8889175235543
193,-889.8889175235543
194,-798.465219726588
195,-617.7853320642655
196,-617.7853320642655
197,-617.7853320642655
198,-583.8574985662223
199,-341.032966554205
200,-122.24385126540778
201,-122.24385126540778
202,-122.24385126540778
203,-7.649350198819889
204,153.3330628807721
205,517.7404563035878
206,517.7404563035878
207,517.7404563035878
208,517.7404563035878
209,517.7404563035878
210,640.6257756366889
211,784.5102939160392
212,784.5102939160392
213,1003.2188702406363
214,1056.6968786232237
215,1056.6968786232237
216,1056.6968786232237
217,1056.6968786232237
218,1197.4468272415145
219,1197.4468272415145
220,1197.4468272415145
221,1277.2306152063416
222,1277.2306152063416
223,1433.3846114434507
224,1433.3846114434507
225,1433.3846114434507
226,1689.6557322488243
227,1689.6557322488243
228,1689.6557322488243
229,1720.1203889443336
230,1720.1203889443336
231,1758.6720545557255
232,1758.6720545557255
233,1819.015558400055
234,1935.2905028679565
235,1935.2905028679565
236,1955.0774484786716
237,1955.0774484786716
238,2099.209185294445
239,2099.209185294445
240,2150.115170059836
241,2150.115170059836
242,2150.115170059836
243,2174.605313645007
244,2199.5760433301616
245,2218.377446468785
246,2218.377446468785
247,2218.377446468785
248,2279.755407233427
249,2322.8510612730315
250,2325.651765417108
251,2450.401613918644
252,2457.1034500364854
253,2497.1151462874627
254,2506.330353645315
255,2516.9994003776583
256,2544.4672167610997
257,2544.4672167610997
258,2637.861315487655
259,2637.861315487655
260,2653.8881148198984
261,2653.8881148198984
262,2653.8881148198984
263,2653.8881148198984
264,2680.043684260104
265,2717.0757205251944
266,2765.7165989115824
267,2781.114286846181
268,2781.114286846181
269,2781.114286846181
270,2781.114286846181
271,2781.114286846181
272,2781.114286846181
273,2790.375397632497
274,2852.9911928402
275,2854.880571286386
276,2854.880571286386
277,2854.880571286386
278,2854.880571286386
279,2854.880571286386
280,2854.880571286386
281,2854.880571286386
282,3381.8670242267945
283,3381.8670242267945
284,3381.8670242267945
285,3403.440154269111
286,3403.440154269111
287,3403.440154269111
288,3403.440154269111
289,3447.9202021187225
290,3447.9202021187225
291,3492.324213244439
292,3536.246379094963
293,3563.3093186894193
294,3563.3093186894193
295,3563.3093186894193
296,3641.7085087907326
297,3641.7085087907326
298,3690.7353968912626
299,3690.7353968912626
300,3690.7353968912626
301,3690.7353968912626
302,3761.496246894192
303,3761.496246894192
304,3761.496246894192
305,3761.496246894192
306,3761.496246894192
307,3787.2320173463504
308,3839.936562825254
309,3895.746193783806
310,3895.746193783806
311,3949.7356246880454
312,3949.7356246880454
313,3949.7356246880454
314,3949.7356246880454
315,3949.7356246880454
316,3949.7356246880454
317,3975.207143088981
318,4062.1634867933913
319,4062.1634867933913
320,4062.1634867933913
321,4062.1634867933913
322,4062.1634867933913
323,4070.698969405522
324,4070.698969405522
325,4102.48522368679
326,4102.48522368679
327,4102.48522368679
328,4102.48522368679
329,4105.738613903003
330,4188.1383816256
331,4222.475509176264
332,4235.408054465515
333,4239.552590344599
334,4239.552590344599
335,4239.552590344599
336,4270.05235958559
337,4270.05235958559
338,4270.05235958559
339,4270.05235958559
340,4270.05235958559
341,4270.05235958559
342,4270.05235958559
343,4270.05235958559
344,4270.05235958559
345,4283.893109123427
346,4283.893109123427
347,4323.633162466906
348,4326.489421928053
349,4346.562664141711
350,4358.839906619102
351,4358.839906619102
352,4370.260081325669
353,4370.260081325669
354,4378.7036104274675
355,4378.7036104274675
356,4380.812484398202
357,4411.097548952201
358,4411.097548952201
359,4411.097548952201
360,4411.097548952201
361,4432.3980030081875
362,4432.3980030081875
363,4432.3980030081875
364,4448.862816678173
365,4448.862816678173
366,4448.862816678173
367,4448.862816678173
368,4478.5294924067275
369,4478.5294924067275
370,4478.5294924067275
371,4478.5294924067275
372,4478.5294924067275
373,4492.467660808701
374,4493.729246255705
375,4493.729246255705
376,4493.729246255705
377,4493.729246255705
378,4493.729246255705
379,4494.181647760417
380,4494.181647760417
381,4534.678456484925
382,4540.604359743741
383,4540.604359743741
384,4540.604359743741
385,4547.604584863562
386,4547.604584863562
387,4556.591970121708
388,4556.591970121708
389,4556.591970121708
390,4575.474981810437
391,4575.474981810437
