iteration,best_obj_val
1,-450.83687829384803
2,-393.9320473244111
3,-393.9320473244111
4,-393.92450922339026
5,-342.76449101936646
6,-342.76449101936646
7,-342.76449101936646
8,-342.76449101936646
9,-342.76449101936646
10,-342.76449101936646
11,-342.76449101936646
12,-342.76449101936646
13,-342.76449101936646
14,-332.12779643167886
15,-332.12779643167886
16,-332.12779643167886
17,-332.12779643167886
18,-332.12779643167886
19,-332.12779643167886
20,-332.12779643167886
21,-332.12779643167886
22,-332.12779643167886
23,-332.12779643167886
24,-332.12779643167886
25,-332.12779643167886
26,-332.12779643167886
27,-332.12779643167886
28,-332.12779643167886
29,-313.30576616781104
30,-313.30576616781104
31,-313.30576616781104
32,-313.30576616781104
33,-313.30576616781104
34,-313.30576616781104
35,-313.30576616781104
36,-313.30576616781104
37,-313.30576616781104
38,-313.30576616781104
39,-313.30576616781104
40,-313.30576616781104
41,-313.30576616781104
42,-313.30576616781104
43,-313.30576616781104
44,-313.30576616781104
45,-313.30576616781104
46,-313.30576616781104
47,-313.30576616781104
48,-310.9140214011086
49,-310.9140214011086
50,-310.9140214011086
51,-310.9140214011086
52,-310.9140214011086
53,-310.9140214011086
54,-299.5754666333645
55,-299.5754666333645
56,-299.5754666333645
57,-299.5754666333645
58,-299.5754666333645
59,-299.5754666333645
60,-299.5754666333645
61,-299.5754666333645
62,-299.5754666333645
63,-299.5754666333645
64,-299.5754666333645
65,-279.292341350622
66,-279.292341350622
67,-279.292341350622
68,-279.292341350622
69,-279.292341350622
70,-279.292341350622
71,-279.292341350622
72,-279.292341350622
73,-279.292341350622
74,-279.292341350622
75,-279.292341350622
76,-279.292341350622
77,-279.292341350622
78,-279.292341350622
79,-279.08698685189756
80,-279.08698685189756
81,-278.62892220487424
82,-278.62892220487424
83,-278.62892220487424
84,-278.62892220487424
85,-272.206779872691
86,-271.3336304312169
87,-271.3336304312169
88,-271.3336304312169
89,-271.3336304312169
90,-271.3336304312169
91,-268.0618251666261
92,-268.0618251666261
93,-268.0618251666261
94,-268.0618251666261
95,-268.0618251666261
96,-268.0618251666261
97,-268.0618251666261
98,-268.0618251666261
99,-268.0618251666261
100,-266.826989717481
101,-266.826989717481
102,-266.826989717481
103,-266.7831731847937
104,-262.35635108432706
105,-262.35635108432706
106,-262.35635108432706
107,-262.35635108432706
108,-262.35635108432706
109,-262.35635108432706
110,-262.35635108432706
111,-262.23368373907226
112,-262.23368373907226
113,-262.23368373907226
114,-262.23368373907226
115,-262.23368373907226
116,-262.23368373907226
117,-262.22782719361567
118,-262.22782719361567
119,-262.22782719361567
120,-258.45174167428576
121,-258.45174167428576
122,-258.45174167428576
123,-258.45174167428576
124,-258.45174167428576
125,-258.45174167428576
126,-258.45174167428576
127,-258.45174167428576
128,-258.45174167428576
129,-258.45174167428576
130,-254.29808011303797
131,-254.29808011303797
132,-254.29808011303797
133,-254.29808011303797
134,-254.29808011303797
135,-249.8779331683048
136,-249.8779331683048
137,-249.8779331683048
138,-247.99063805656596
139,-247.99063805656596
140,-247.7063343801879
141,-247.7063343801879
142,-247.7063343801879
143,-247.21100784823503
144,-247.21100784823503
145,-247.21100784823503
146,-247.21100784823503
147,-247.21100784823503
148,-247.21100784823503
149,-247.21100784823503
150,-246.84752839071265
151,-246.35356514554584
152,-246.35356514554584
153,-246.35356514554584
154,-246.35356514554584
155,-245.04934543342796
156,-245.04934543342796
157,-245.04934543342796
158,-244.6486311613013
159,-243.6396434877298
160,-242.0176467406672
161,-242.0176467406672
