iteration,best_obj_val
1,-323.3278833118243
2,-323.3278833118243
3,-323.3278833118243
4,-323.3278833118243
5,-323.3278833118243
6,-323.3278833118243
7,-323.3278833118243
8,-323.3278833118243
9,-316.93166060433595
10,-316.93166060433595
11,-316.93166060433595
12,-316.93166060433595
13,-316.93166060433595
14,-316.93166060433595
15,-316.93166060433595
16,-316.93166060433595
17,-316.93166060433595
18,-316.93166060433595
19,-316.93166060433595
20,-316.93166060433595
21,-316.93166060433595
22,-316.93166060433595
23,-298.3016737339642
24,-298.3016737339642
25,-298.3016737339642
26,-298.3016737339642
27,-293.49696051922285
28,-293.49696051922285
29,-293.49696051922285
30,-293.49696051922285
31,-293.49696051922285
32,-293.49696051922285
33,-293.49696051922285
34,-293.49696051922285
35,-286.4418508439222
36,-286.4418508439222
37,-286.4418508439222
38,-286.4418508439222
39,-278.2795686239466
40,-278.2795686239466
41,-278.2795686239466
42,-278.2795686239466
43,-278.2795686239466
44,-278.2795686239466
45,-278.2795686239466
46,-278.2795686239466
47,-266.26187509315633
48,-266.26187509315633
49,-266.26187509315633
50,-266.26187509315633
51,-266.26187509315633
52,-266.26187509315633
53,-266.26187509315633
54,-266.26187509315633
55,-263.97048448408424
56,-263.97048448408424
57,-263.97048448408424
58,-263.97048448408424
59,-263.97048448408424
60,-263.97048448408424
61,-263.97048448408424
62,-263.97048448408424
63,-263.97048448408424
64,-263.97048448408424
65,-263.97048448408424
66,-262.5276274472531
67,-262.5276274472531
68,-262.5276274472531
69,-262.5276274472531
70,-262.5276274472531
71,-262.5276274472531
72,-262.5276274472531
73,-262.5276274472531
74,-260.6882911940924
75,-260.6882911940924
76,-260.6882911940924
77,-260.6882911940924
78,-260.6882911940924
79,-260.6882911940924
80,-260.6882911940924
81,-260.6882911940924
82,-260.6882911940924
83,-260.6882911940924
84,-260.6882911940924
85,-260.6882911940924
86,-260.6882911940924
87,-260.6882911940924
88,-260.6882911940924
89,-260.6882911940924
90,-260.6882911940924
91,-260.6882911940924
92,-260.6882911940924
93,-259.0286337295652
94,-259.0286337295652
95,-259.0286337295652
96,-259.0286337295652
97,-259.0286337295652
98,-259.0286337295652
99,-259.0286337295652
100,-255.94516673045942
101,-255.94516673045942
102,-255.94516673045942
103,-253.7730505758773
104,-253.7730505758773
105,-253.7730505758773
106,-253.7730505758773
107,-252.20790206966933
108,-252.20790206966933
109,-252.20790206966933
110,-252.20790206966933
111,-252.20790206966933
112,-252.20790206966933
113,-252.20790206966933
114,-252.20790206966933
115,-252.20790206966933
116,-252.20790206966933
117,-250.61294034317274
118,-249.90810805472762
119,-249.90810805472762
120,-249.90810805472762
121,-249.90810805472762
122,-249.90810805472762
123,-249.90810805472762
124,-249.60125980386874
125,-249.60125980386874
126,-249.60125980386874
127,-249.60125980386874
128,-249.60125980386874
129,-249.60125980386874
130,-249.60125980386874
131,-249.60125980386874
132,-249.60125980386874
133,-249.60125980386874
134,-249.60125980386874
135,-249.60125980386874
136,-249.16886502914568
137,-249.16886502914568
138,-249.16886502914568
139,-249.08347020324845
140,-249.08347020324845
141,-248.87390297671956
142,-248.0771113010465
143,-248.0771113010465
144,-248.0771113010465
145,-248.0771113010465
146,-248.0771113010465
147,-248.0771113010465
148,-248.0771113010465
149,-248.0771113010465
150,-248.0771113010465
151,-248.0771113010465
152,-248.0771113010465
153,-247.52921636666304
154,-247.52921636666304
155,-247.52921636666304
156,-246.2478192715493
157,-245.29726646902915
158,-245.29726646902915
159,-245.29726646902915
160,-245.29726646902915
161,-245.29726646902915
162,-245.29726646902915
163,-245.25177093440854
164,-245.25177093440854
165,-245.25177093440854
166,-245.25177093440854
167,-244.1131854484004
168,-244.1131854484004
169,-244.1131854484004
170,-244.1131854484004
171,-242.94565514598395
172,-241.22458457687182
173,-241.22458457687182
174,-241.22458457687182
175,-241.22458457687182
176,-241.22458457687182
177,-241.22458457687182
178,-241.22458457687182
179,-241.22458457687182
180,-241.22458457687182
181,-241.22458457687182
182,-241.22458457687182
183,-241.22458457687182
