iteration,best_obj_val
1,-322.4028986134298
2,-322.4028986134298
3,-322.4028986134298
4,-322.4028986134298
5,-313.1960081131575
6,-313.1960081131575
7,-313.1960081131575
8,-313.1960081131575
9,-313.1960081131575
10,-313.1960081131575
11,-313.1960081131575
12,-313.1960081131575
13,-313.1960081131575
14,-313.1960081131575
15,-313.1960081131575
16,-310.5073011080565
17,-310.5073011080565
18,-310.5073011080565
19,-310.5073011080565
20,-309.8883141419091
21,-309.8883141419091
22,-308.2973854400892
23,-308.2973854400892
24,-308.2973854400892
25,-306.61395724824666
26,-306.61395724824666
27,-306.61395724824666
28,-306.61395724824666
29,-306.61395724824666
30,-306.61395724824666
31,-303.6874849704897
32,-302.81434772707405
33,-302.81434772707405
34,-301.0510808797255
35,-301.0510808797255
36,-301.0510808797255
37,-301.0510808797255
38,-301.0510808797255
39,-301.0510808797255
40,-301.0510808797255
41,-300.17242677151995
42,-291.55109398591406
43,-291.55109398591406
44,-291.55109398591406
45,-291.55109398591406
46,-290.0746683646937
47,-288.335290981606
48,-288.335290981606
49,-288.335290981606
50,-287.211623028473
51,-287.211623028473
52,-287.211623028473
53,-287.211623028473
54,-287.211623028473
55,-287.211623028473
56,-287.211623028473
57,-284.5612552002317
58,-284.5612552002317
59,-284.5612552002317
60,-284.5612552002317
61,-284.5612552002317
62,-282.4774058472259
63,-282.4774058472259
64,-282.4774058472259
65,-281.9026578062972
66,-281.9026578062972
67,-281.9026578062972
68,-281.9026578062972
69,-279.82429063973643
70,-279.82429063973643
71,-278.1851795837142
72,-278.1851795837142
73,-277.4631985042251
74,-277.4631985042251
75,-276.750769543637
76,-276.750769543637
77,-276.750769543637
78,-275.7533418233822
79,-275.7533418233822
80,-275.4211909236503
81,-275.31283394304893
82,-275.31283394304893
83,-275.2720793031521
84,-274.94257840727437
85,-272.6561453154502
86,-272.6561453154502
87,-272.6561453154502
88,-271.93825348479044
89,-271.93825348479044
90,-271.93825348479044
91,-271.93825348479044
92,-271.52994656845107
93,-271.52994656845107
94,-271.52994656845107
95,-271.52994656845107
96,-271.52994656845107
97,-271.52994656845107
98,-271.52994656845107
99,-268.449706058482
100,-268.449706058482
101,-268.449706058482
102,-268.449706058482
103,-267.5844277263669
104,-267.5844277263669
105,-267.5844277263669
106,-267.3031260503795
107,-267.3031260503795
108,-264.5229484526872
109,-264.5229484526872
110,-263.78734352716356
111,-263.3855354394846
112,-263.3855354394846
113,-263.3855354394846
114,-263.2097203016404
115,-263.1539713659903
116,-263.1539713659903
117,-260.98368248135904
118,-260.98368248135904
119,-260.98368248135904
120,-260.76127206717
121,-260.7438041879141
122,-260.7438041879141
123,-260.7438041879141
124,-258.0562913419599
125,-258.0562913419599
126,-258.0562913419599
127,-255.5330104566685
128,-255.5330104566685
129,-253.70428337311964
130,-253.70428337311964
131,-253.70428337311964
132,-253.70428337311964
133,-253.70428337311964
134,-253.70428337311964
135,-253.70428337311964
136,-253.70428337311964
137,-252.18425642688848
138,-250.14450612550394
139,-250.14450612550394
140,-250.14450612550394
141,-250.14450612550394
142,-250.14450612550394
143,-250.14450612550394
144,-250.14450612550394
145,-250.14450612550394
146,-249.992473530853
147,-249.992473530853
148,-249.992473530853
149,-249.992473530853
150,-249.992473530853
151,-249.93619423602544
152,-249.93619423602544
153,-249.40341064962627
154,-249.40341064962627
155,-249.40341064962627
156,-249.40341064962627
157,-249.40341064962627
158,-249.40341064962627
159,-248.7764162343836
160,-248.32241884900432
161,-248.32241884900432
162,-247.99665426718346
163,-247.99665426718346
164,-247.0297396534033
165,-246.829095506788
166,-246.46816903482141
167,-245.8238110083434
168,-245.8238110083434
169,-245.3971195789454
170,-245.17446257963732
171,-245.17446257963732
172,-245.17446257963732
173,-245.17446257963732
174,-245.17446257963732
175,-245.17446257963732
176,-245.17446257963732
177,-245.17446257963732
178,-245.17446257963732
179,-245.17446257963732
180,-245.17446257963732
181,-245.17446257963732
182,-244.60851862802085
183,-244.60851862802085
184,-244.60851862802085
185,-244.60851862802085
186,-244.60851862802085
187,-244.60851862802085
188,-244.60851862802085
189,-244.60851862802085
190,-244.60851862802085
191,-244.60851862802085
192,-244.60851862802085
193,-244.60851862802085
194,-244.28187648818678
195,-244.28187648818678
196,-244.28187648818678
197,-244.28187648818678
198,-244.28187648818678
199,-244.03959639304014
200,-243.87833959186293
201,-243.87833959186293
202,-243.87833959186293
203,-243.87833959186293
204,-243.87833959186293
205,-243.87833959186293
206,-243.17797640185543
207,-243.02005773347142
208,-243.02005773347142
209,-243.02005773347142
210,-243.02005773347142
211,-243.02005773347142
212,-242.99867715152115
213,-242.83493717373923
214,-242.71222164586038
215,-242.64063846125094
216,-242.10403155516565
217,-242.10403155516565
218,-241.62525786405217
219,-241.55343196291273
220,-241.08123859992958
221,-241.08123859992958
222,-241.08123859992958
223,-241.08123859992958
224,-241.08123859992958
225,-241.08123859992958
226,-241.08123859992958
227,-241.08123859992958
228,-241.08123859992958
229,-241.08123859992958
230,-241.08123859992958
231,-241.08123859992958
232,-241.08123859992958
233,-241.08123859992958
234,-241.0742887291745
235,-240.82937987692475
236,-240.82937987692475
237,-240.82937987692475
238,-240.23179750773954
239,-239.9584462732752
240,-239.9584462732752
241,-239.86424019371873
242,-239.4892289698635
243,-239.4892289698635
244,-239.4892289698635
245,-239.2982674263798
246,-239.2982674263798
247,-239.2982674263798
248,-239.2982674263798
249,-238.51973262276624
250,-238.51973262276624
251,-238.51717399710384
252,-238.51717399710384
253,-238.24963178533386
254,-237.9247838820933
255,-237.9247838820933
256,-237.74952822203335
257,-237.74952822203335
258,-237.74952822203335
259,-237.688713133746
260,-237.688713133746
261,-237.688713133746
262,-237.68654508985037
263,-237.2325096083316
264,-237.2325096083316
265,-237.232443325917
266,-237.13105020551393
267,-237.13105020551393
268,-237.13105020551393
269,-236.71611241657743
270,-236.26069847838465
271,-235.92203035516252
272,-235.92203035516252
273,-235.92203035516252
274,-235.44923286095843
275,-235.44923286095843
276,-235.44923286095843
277,-235.44923286095843
278,-235.44923286095843
279,-235.44923286095843
280,-235.44923286095843
281,-235.44923286095843
282,-235.10741831067386
283,-235.10741831067386
284,-235.10741831067386
285,-235.10741831067386
286,-235.10741831067386
287,-234.94733209615254
288,-234.94733209615254
289,-234.94733209615254
290,-234.94733209615254
291,-234.94733209615254
292,-234.94733209615254
293,-234.94733209615254
294,-234.94733209615254
295,-234.94733209615254
296,-234.8190604668338
297,-234.6601211655498
298,-234.6601211655498
299,-234.6601211655498
300,-234.6601211655498
