iteration,best_obj_val
1,-338.1617941161907
2,-325.59052649716693
3,-325.59052649716693
4,-325.59052649716693
5,-325.59052649716693
6,-325.59052649716693
7,-325.59052649716693
8,-319.7046703442463
9,-319.7046703442463
10,-319.7046703442463
11,-319.7046703442463
12,-319.7046703442463
13,-319.7046703442463
14,-319.7046703442463
15,-319.7046703442463
16,-319.7046703442463
17,-311.60653180474026
18,-311.60653180474026
19,-305.7751685544606
20,-305.7751685544606
21,-305.7751685544606
22,-305.7751685544606
23,-301.4368110401129
24,-301.4368110401129
25,-301.4368110401129
26,-301.4368110401129
27,-301.4368110401129
28,-300.3664767087497
29,-299.7267194969874
30,-296.99674812254887
31,-296.99674812254887
32,-296.99674812254887
33,-296.99674812254887
34,-296.99674812254887
35,-288.3984845317219
36,-288.3984845317219
37,-288.3984845317219
38,-288.3984845317219
39,-288.3984845317219
40,-288.3984845317219
41,-288.3984845317219
42,-288.3984845317219
43,-288.3984845317219
44,-286.55998591253143
45,-286.55998591253143
46,-286.55998591253143
47,-283.023294044003
48,-283.023294044003
49,-283.023294044003
50,-283.023294044003
51,-283.023294044003
52,-282.03352313178885
53,-282.03352313178885
54,-282.03352313178885
55,-282.03352313178885
56,-279.1740244692841
57,-279.1740244692841
58,-279.1740244692841
59,-279.1740244692841
60,-279.1740244692841
61,-279.1740244692841
62,-279.1740244692841
63,-279.1740244692841
64,-279.1740244692841
65,-279.1740244692841
66,-279.1740244692841
67,-279.1740244692841
68,-276.72262411179474
69,-276.72262411179474
70,-276.72262411179474
71,-276.72262411179474
72,-276.72262411179474
73,-276.72262411179474
74,-276.65062898629327
75,-276.65062898629327
76,-276.65062898629327
77,-276.65062898629327
78,-276.65062898629327
79,-276.65062898629327
80,-276.65062898629327
81,-276.65062898629327
82,-276.65062898629327
83,-276.65062898629327
84,-276.65062898629327
85,-276.65062898629327
86,-276.65062898629327
87,-276.65062898629327
88,-276.65062898629327
89,-276.65062898629327
90,-276.65062898629327
91,-276.57034959308
92,-276.57034959308
93,-275.83446555545004
94,-275.83446555545004
95,-275.83446555545004
